content_item_id,content_key,subject_key,item_type,primary_unit_number,primary_topic_code,primary_topic_title,alt_topic_code,confidence,agreement_with_author_prose,agreement_with_explainer_retrieval,rationale,needs_human,explainer_available
3a187fa6-d745-463a-be2b-49579aa87a84,APSTAT-MOD3-E002,ap-statistics,frq,1,1.1,Introducing Statistics: What Can We Learn from Data?,1.10,low,na,no,Checked against the grounded 1.1 explainer; item evidence remains ambiguous.,true,true
649b4aec-efb7-4ed1-a606-6b873ed321b8,APSTAT-MOD3-E005,ap-statistics,frq,2,2.2,Summary Statistics for Two Categorical Variables,1.3,medium,na,yes,Checked against the grounded 2.2 explainer; its core idea best matches the assessed skill.,false,true
d2ac22b2-f075-41df-a05d-897aa44f436b,APSTAT-MOD3-H001-INV,ap-statistics,frq,4,4.3,Justifying a Claim Based on a Confidence Interval for a Population Mean or Population Mean Difference,3.11,medium,na,yes,Checked against the grounded 4.3 explainer; its core idea best matches the assessed skill.,false,true
e053bb22-4805-44ab-9003-36b2e93987ab,APSTAT-MOD4-H001-INV,ap-statistics,frq,3,3.12,Setting Up a Test for the Difference Between Two Population Proportions,3.13,low,na,no,Checked against the grounded 3.12 explainer; item evidence remains ambiguous.,true,true
40c0226d-ff9d-4927-8c72-75b1cdbc2dd2,APSTAT-MOD4-M001,ap-statistics,frq,3,3.12,Setting Up a Test for the Difference Between Two Population Proportions,3.13,low,na,no,Checked against the grounded 3.12 explainer; item evidence remains ambiguous.,true,true
a2a8e8f7-f1f4-444f-a31d-cef8ec4d3c11,APSTAT-MOD4-M003,ap-statistics,frq,3,3.9,Sampling Distributions for the Difference Between Sample Proportions,4.6,low,na,no,Checked against the grounded 3.9 explainer; item evidence remains ambiguous.,true,true
c2f7d698-bd32-4f2e-bb91-c2119089c233,APSTAT-MOD4-M004,ap-statistics,frq,1,1.1,Introducing Statistics: What Can We Learn from Data?,1.10,low,na,no,Checked against the grounded 1.1 explainer; item evidence remains ambiguous.,true,true
c620d7d3-1a93-49ac-8d81-654c7767125f,APSTAT-MOD5-H001-INV,ap-statistics,frq,2,2.2,Summary Statistics for Two Categorical Variables,5.1,low,na,no,Checked against the grounded 2.2 explainer; item evidence remains ambiguous.,true,true
6a376f40-6f50-42b9-b478-27f91cd92aa1,APSTAT-MOD5-M001,ap-statistics,frq,1,1.1,Introducing Statistics: What Can We Learn from Data?,1.10,low,na,no,Checked against the grounded 1.1 explainer; item evidence remains ambiguous.,true,true
d070712f-9e57-4a0b-8af1-ef22b932dd3d,APSTAT-MOD6-H001,ap-statistics,frq,1,1.10,The Investigative Question Revisited and Data Collection,1.13,low,na,no,Checked against the grounded 1.10 explainer; item evidence remains ambiguous.,true,true
a067f214-64d3-48f4-b267-c41ce5fc5e5d,APSTAT-MOD6-H002-INV,ap-statistics,frq,5,5.5,Least-Squares Regression,1.10,medium,na,yes,Checked against the grounded 5.5 explainer; its core idea best matches the assessed skill.,false,true
5808c609-bc29-476a-a404-afa15124ebf3,APSTAT-MOD6-M002,ap-statistics,frq,3,3.10,Constructing a Confidence Interval for the Difference Between Two Population Proportions,3.11,low,na,no,Checked against the grounded 3.10 explainer; item evidence remains ambiguous.,true,true
7d8d53e7-8dc5-4175-b972-688ffe5f9edf,APSTAT-MOD7-H002-INV,ap-statistics,frq,3,3.14,Setting Up a Chi-Square Test for Homogeneity or Independence,3.15,low,na,no,Checked against the grounded 3.14 explainer; item evidence remains ambiguous.,true,true
35c5517b-23ad-497f-8eb5-10a36b7bcc11,APSTAT-MOD8-M004,ap-statistics,frq,5,5.3,Linear Regression Models,1.3,medium,na,yes,Corrected the prior regression pattern; the grounded 5.3 explainer is the closest closed-list match.,false,true
0d5cc3fa-48fa-44d6-a0c9-c8e9d6067a6e,apstats-frq-u12-001,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,1.4,medium,na,yes,Checked against the grounded 1.8 explainer; its core idea best matches the assessed skill.,false,true
d49c417a-ffc9-4836-a070-bd356e021b69,apstats-frq-u12-002,ap-statistics,frq,2,2.5,Mutually Exclusive Events,1.1,medium,na,yes,Checked against the grounded 2.5 explainer; its core idea best matches the assessed skill.,false,true
614b65b6-f98c-4319-ae0a-b540ce47233d,apstats-frq-u12-003,ap-statistics,frq,3,3.11,Justifying a Claim Based on a Confidence Interval for the Difference Between Two Population Proportions,3.9,low,na,no,Checked against the grounded 3.11 explainer; item evidence remains ambiguous.,true,true
66dba214-f1d0-41ba-a52e-1e16996ce0d7,apstats-frq-u12-004,ap-statistics,frq,1,1.6,Descriptions for One Quantitative Variable Distributions,1.7,medium,na,yes,Checked against the grounded 1.6 explainer; its core idea best matches the assessed skill.,false,true
c19e2b4d-b0f5-4944-a4d9-46840f005aab,apstats-frq-u12-005,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,,medium,na,yes,Checked against the grounded 1.8 explainer; its core idea best matches the assessed skill.,false,true
c9e06a78-dfe6-49eb-a069-5a3bf2aa1ad7,apstats-frq-u12-006,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,,medium,na,yes,Checked against the grounded 2.1 explainer; its core idea best matches the assessed skill.,false,true
fd23b590-846f-49cc-a45d-16ff3d187c67,apstats-frq-u12-007,ap-statistics,frq,3,3.11,Justifying a Claim Based on a Confidence Interval for the Difference Between Two Population Proportions,3.12,low,na,no,Checked against the grounded 3.11 explainer; item evidence remains ambiguous.,true,true
ee476290-e8fa-491d-ad5f-49a9e4a51f25,apstats-frq-u12-008,ap-statistics,frq,2,2.2,Summary Statistics for Two Categorical Variables,2.9,low,na,no,Checked against the grounded 2.2 explainer; item evidence remains ambiguous.,true,true
d96694c3-cce5-407b-ae36-1656d7ce1164,apstats-frq-u12-009,ap-statistics,frq,1,1.1,Introducing Statistics: What Can We Learn from Data?,1.3,low,na,no,Checked against the grounded 1.1 explainer; item evidence remains ambiguous.,true,true
