id,content_key,category,question_or_issue,disposition
"D-001","apcalcab-frq-003","signal_conflict","proposed 4.2; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-002","apcalcab-frq-004","signal_conflict","proposed 4.6; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-003","apcalcab-frq-008","signal_conflict","proposed 8.3 vs 6.5; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-004","apcalcab-frq-015","low_confidence","proposed 8.9 vs 8.12","Independent QA and Product Owner review required before use."
"D-005","apcalcab-frq-025","low_confidence","proposed 1.7 vs 1.16","Independent QA and Product Owner review required before use."
"D-006","apcalcab-frq-026","low_confidence","proposed 3.5 vs 2.8","Independent QA and Product Owner review required before use."
"D-007","apcalcab-mcq-016","signal_conflict","proposed 8.1; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-008","apcalcab-mcq-045","low_confidence","proposed 7.4 vs 7.7; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-009","apcalcab-mcq-046","low_confidence","proposed 7.8 vs 7.1; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-010","apcalcab-mcq-050","low_confidence","proposed 8.3 vs 8.4; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-011","apchem-sfrq-007","signal_conflict","proposed 9.3 vs 9.1; author unit/topic signal conflicts with closed-list selection","Independent QA and Product Owner review required before use."
"D-012","apchem-sfrq-008","low_confidence","proposed 7.12 vs 7.11","Independent QA and Product Owner review required before use."
"D-013","apchem-sfrq-029","low_confidence","proposed 7.12 vs 7.11; invalid original 7.13","Independent QA and Product Owner review required before use."
