content_key,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,existing_author_code,content_check,content_disagrees,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version,evidence_fields_used,template_family
apcalcbc-frq-002,ap-calculus-bc,frq,3,3.5,Selecting Procedures for Calculating Derivatives,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Use logarithmic differentiation to find y′. (b) Find the critical point of y and classify it. (c) Find the minimum value.; this most directly matches Selecting Procedures for Calculating Derivatives.,,,false,5.2,true,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-3.5
apcalcbc-frq-003,ap-calculus-bc,frq,3,3.2,Implicit Differentiation,derived,medium,"The content-based selection follows the stem and scoring rubric: (a) Find dy/dx in terms of x and y. (b) Find the slope at (0,0). (c) Find d²y/dx² at (0,0).; this most directly matches Implicit Differentiation.",,,false,3.6,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-3.2
apcalcbc-frq-004,ap-calculus-bc,frq,4,4.2,"Straight-Line Motion: Connecting Position, Velocity, and Acceleration",derived,high,"The content-based selection follows the stem and scoring rubric: (a) Find the time when the velocity is greatest. (b) Find the distance traveled from t=0 to t=4. (c) Explain why displacement and distance are equa…; this most directly matches Straight-Line Motion: Connecting Position, Velocity, and Acceleration.",,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-4.2
apcalcbc-frq-005,ap-calculus-bc,frq,5,5.4,Using the First Derivative Test,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Find and classify all critical numbers. (b) Find the intervals where f is increasing. (c) Determine the concavity of f at x=1.; this most directly matches Using the First Derivative Test.,,,false,5.6,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-5.4
apcalcbc-frq-007,ap-calculus-bc,frq,6,6.14,Selecting Techniques for Antidifferentiation,derived,high,The content-based selection follows the stem and scoring rubric: (a) Evaluate ∫x²e^x dx. (b) Evaluate ∫1/(x²−4) dx. (c) Evaluate ∫[0 to 1]x/√(1−x²) dx.; this most directly matches Selecting Techniques for Antidifferentiation.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-6.14
apcalcbc-frq-008,ap-calculus-bc,frq,6,6.13,Evaluating Improper Integrals (BC only),derived,high,The content-based selection follows the stem and scoring rubric: (a) Use a substitution to rewrite I(p). (b) Determine all p for which I(p) converges. (c) Evaluate I(2).; this most directly matches Evaluating Improper Integrals (BC only).,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-6.13
apcalcbc-frq-010,ap-calculus-bc,frq,7,7.9,Logistic Models with Differential Equations,derived,high,The content-based selection follows the stem and scoring rubric: (a) Solve the initial-value problem. (b) Find the time when C=0.5. (c) Determine the limiting concentration and explain it from the differential eq…; this most directly matches Logistic Models with Differential Equations.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-7.9
apcalcbc-frq-011,ap-calculus-bc,frq,8,8.13,Arc Length of a Smooth Planar Curve,derived,high,The content-based selection follows the stem and scoring rubric: (a) Find dy/dx. (b) Write and simplify the arc-length integral. (c) Evaluate the length.; this most directly matches Arc Length of a Smooth Planar Curve.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-8.13
apcalcbc-frq-012,ap-calculus-bc,frq,9,9.1,Defining and Differentiating Parametric Equations,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Find dy/dx where dx/dt is not zero. (b) Determine whether the curve has a vertical tangent on the stated parameter interval. Analyze the singul…; this most directly matches Defining and Differentiating Parametric Equations.,,,false,9.2,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-9.1
apcalcbc-frq-013,ap-calculus-bc,frq,9,9.8,Area of a Polar Region or the Area Bounded by a Single Polar Curve,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Find the area enclosed by the curve. (b) Find the slope dy/dx at θ=π/2. (c) Write an integral for the curve length without evaluating it.; this most directly matches Area of a Polar Region or the Area Bounded by a Single Polar Curve.,,,false,9.7,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-9.8
apcalcbc-frq-014,ap-calculus-bc,frq,10,10.13,Radius and Interval of Convergence of Power Series,derived,high,The content-based selection follows the stem and scoring rubric: (a) Find its radius and interval of convergence. (b) Find the sum function inside the interval. (c) Find the value of the series at x=4.; this most directly matches Radius and Interval of Convergence of Power Series.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-10.13
apcalcbc-frq-015,ap-calculus-bc,frq,10,10.10,Alternating Series Error Bound,derived,high,The content-based selection follows the stem and scoring rubric: (a) Explain why the series converges. (b) Find the least N that guarantees the N-term error is below 0.0001 using the alternating bound. (c) State …; this most directly matches Alternating Series Error Bound.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-10.10
apcalcbc-frq-016,ap-calculus-bc,frq,10,10.11,Taylor Polynomial Approximations of Functions,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Write the first four nonzero Maclaurin terms. (b) Use these terms to approximate ln(1.2). (c) Give a valid error bound for this approximation.; this most directly matches Taylor Polynomial Approximations of Functions.,,,false,10.10,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-10.11
apcalcbc-frq-017,ap-calculus-bc,frq,1,1.13,Removing Discontinuities,derived,medium,"The content-based selection follows the stem and scoring rubric: (a) Evaluate lim(x→3)f(x). (b) Find k so that f is continuous at x=3. (c) For this value of k, use the derivative definition to find f′(3). (d) Fin…; this most directly matches Removing Discontinuities.",,,false,1.16,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-1.13
apcalcbc-frq-018,ap-calculus-bc,frq,1,1.16,Working with the Intermediate Value Theorem,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Explain why at least one such value c exists. (b) Find c to three decimal places. (c) Evaluate lim(x→c)g(x). (d) Define g(c) so that g is conti…; this most directly matches Working with the Intermediate Value Theorem.,,,false,1.13,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-1.16
apcalcbc-frq-019,ap-calculus-bc,frq,2,2.8,The Product Rule,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Find f′(x). (b) Write the equation of the tangent line to f at x=0. (c) Find f″(x). (d) Determine the concavity of f at x=0 and justify.; this most directly matches The Product Rule.,,,false,3.6,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-2.8
apcalcbc-frq-020,ap-calculus-bc,frq,3,3.2,Implicit Differentiation,derived,high,"The content-based selection follows the stem and scoring rubric: (a) Find dy/dx in terms of x and y, and then find the slope at (1,2). (b) Write the tangent-line equation at (1,2). (c) Find d²y/dx² at (1,2). (d) …; this most directly matches Implicit Differentiation.",,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-3.2
apcalcbc-frq-021,ap-calculus-bc,frq,8,8.3,Using Accumulation Functions and Definite Integrals in Applied Contexts,derived,high,The content-based selection follows the stem and scoring rubric: (a) Find the net rate of change of liquid at t=2 and interpret the result with units. (b) Find the net change in the amount of liquid from t=0 to t…; this most directly matches Using Accumulation Functions and Definite Integrals in Applied Contexts.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-8.3
apcalcbc-frq-022,ap-calculus-bc,frq,5,5.5,Using the Candidates Test to Determine Absolute Extrema,derived,medium,"The content-based selection follows the stem and scoring rubric: (a) Find all critical numbers of f. (b) Determine the intervals on which f is increasing and decreasing, and classify the critical numbers. (c) Det…; this most directly matches Using the Candidates Test to Determine Absolute Extrema.",,,false,5.3,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-5.5
apcalcbc-frq-023,ap-calculus-bc,frq,5,5.5,Using the Candidates Test to Determine Absolute Extrema,derived,medium,"The content-based selection follows the stem and scoring rubric: (a) Find the intervals on which f is increasing. (b) Find the absolute maximum and absolute minimum values of f on [0,6]. (c) Find the x-coordinate…; this most directly matches Using the Candidates Test to Determine Absolute Extrema.",,,false,5.6,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-5.5
apcalcbc-frq-024,ap-calculus-bc,frq,6,6.4,The Fundamental Theorem of Calculus and Accumulation Functions,derived,high,"The content-based selection follows the stem and scoring rubric: (a) Find F′(x) and F(1). (b) Find F″(x). (c) Evaluate ∫₀¹F′(x)dx. (d) Find the absolute minimum of F on [−1,1].; this most directly matches The Fundamental Theorem of Calculus and Accumulation Functions.",,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-6.4
apcalcbc-frq-025,ap-calculus-bc,frq,6,6.14,Selecting Techniques for Antidifferentiation,derived,high,The content-based selection follows the stem and scoring rubric: (a) Evaluate ∫xe^(2x)dx. (b) Evaluate ∫1/(x²−1)dx. (c) Evaluate ∫₁^∞1/[x(x+1)]dx. (d) Evaluate ∫x³/(x²+1)dx.; this most directly matches Selecting Techniques for Antidifferentiation.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-6.14
apcalcbc-frq-026,ap-calculus-bc,frq,6,6.5,Interpreting the Behavior of Accumulation Functions,derived,high,"The content-based selection follows the stem and scoring rubric: (a) Find G(2) to three decimal places. (b) Find all critical numbers of G in (0,2) and determine where G is increasing. (c) Find the absolute maxim…; this most directly matches Interpreting the Behavior of Accumulation Functions.",,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-6.5
apcalcbc-frq-027,ap-calculus-bc,frq,7,7.5,Approximating Solutions Using Euler's Method,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Write the tangent-line equation to the solution at x=0. (b) Use Euler's method with two steps of size 0.5 to approximate y(1). (c) Solve the di…; this most directly matches Approximating Solutions Using Euler's Method.,,,false,7.7,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-7.5
apcalcbc-frq-028,ap-calculus-bc,frq,8,8.7,Volumes with Cross Sections: Squares and Rectangles,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Find the area of R. (b) Find the volume of the solid with base R and square cross sections perpendicular to the x-axis. (c) Find the volume whe…; this most directly matches Volumes with Cross Sections: Squares and Rectangles.,,,false,8.8,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-8.7
apcalcbc-frq-029,ap-calculus-bc,frq,9,9.2,Second Derivatives of Parametric Equations,derived,medium,"The content-based selection follows the stem and scoring rubric: (a) Find the point, dx/dt, and dy/dt at t=1. (b) Find the tangent-line equation at t=1. (c) Find d²y/dx² at t=1. (d) Find the speed and acceleratio…; this most directly matches Second Derivatives of Parametric Equations.",,,false,9.6,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-9.2
apcalcbc-frq-030,ap-calculus-bc,frq,9,9.6,Motion Problems Using Parametric and Vector-Valued Functions,derived,high,The content-based selection follows the stem and scoring rubric: (a) Find the velocity and speed at t=π/4. (b) Find the acceleration and its magnitude at t=π/4. (c) Find the displacement vector and its magnitude …; this most directly matches Motion Problems Using Parametric and Vector-Valued Functions.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-9.6
apcalcbc-frq-031,ap-calculus-bc,frq,9,9.7,Defining Polar Coordinates and Differentiating in Polar Form,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Find the Cartesian coordinates at θ=π/4. (b) Find dy/dx at θ=π/4. (c) Find the area swept out by the radius from θ=0 to θ=π/2. (d) Find dA/dθ a…; this most directly matches Defining Polar Coordinates and Differentiating in Polar Form.,,,false,9.8,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-9.7
apcalcbc-frq-032,ap-calculus-bc,frq,10,10.15,Representing Functions as Power Series,derived,high,The content-based selection follows the stem and scoring rubric: (a) Derive a closed form for S(x) from the geometric series. (b) Evaluate Σ[n=1 to ∞]n/3^n. (c) Find a closed form for Σ[n=1 to ∞]n²x^(n−1). (d) Fi…; this most directly matches Representing Functions as Power Series.,,,false,,false,false,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-10.15
apcalcbc-frq-033,ap-calculus-bc,frq,10,10.1,Defining Convergent and Divergent Infinite Series,derived,medium,The content-based selection follows the stem and scoring rubric: (a) Σ[n=1 to ∞]1/(n²+1) (b) Σ[n=1 to ∞](−1)^n n/(n+1) (c) Σ[n=1 to ∞](−1)^(n+1)/n (d) Σ[n=1 to ∞]3^n/n!; this most directly matches Defining Convergent and Divergent Infinite Series.,,,false,10.9,false,true,ab088009-dc9a-4f93-8824-803e1913505b,stem+stimulus+rubric,legacy:frq:symbolic:topic-10.1
