id,content_key,category,question_or_issue,disposition
H-CALCBC-001,apcalcbc-frq-002,signal_conflict,Proposed 3.5 vs 5.2; unit signal 2 conflicts.,Independent QA and Product Owner review required before use.
H-CALCBC-002,apcalcbc-frq-003,topical_ambiguity,Proposed 3.2 vs 3.6.,Independent QA and Product Owner review required before use.
H-CALCBC-003,apcalcbc-frq-005,topical_ambiguity,Proposed 5.4 vs 5.6.,Independent QA and Product Owner review required before use.
H-CALCBC-004,apcalcbc-frq-012,topical_ambiguity,Proposed 9.1 vs 9.2.,Independent QA and Product Owner review required before use.
H-CALCBC-005,apcalcbc-frq-013,topical_ambiguity,Proposed 9.8 vs 9.7.,Independent QA and Product Owner review required before use.
H-CALCBC-006,apcalcbc-frq-016,topical_ambiguity,Proposed 10.11 vs 10.10.,Independent QA and Product Owner review required before use.
H-CALCBC-007,apcalcbc-frq-017,topical_ambiguity,Proposed 1.13 vs 1.16.,Independent QA and Product Owner review required before use.
H-CALCBC-008,apcalcbc-frq-018,topical_ambiguity,Proposed 1.16 vs 1.13.,Independent QA and Product Owner review required before use.
H-CALCBC-009,apcalcbc-frq-019,topical_ambiguity,Proposed 2.8 vs 3.6.,Independent QA and Product Owner review required before use.
H-CALCBC-010,apcalcbc-frq-022,topical_ambiguity,Proposed 5.5 vs 5.3.,Independent QA and Product Owner review required before use.
H-CALCBC-011,apcalcbc-frq-023,topical_ambiguity,Proposed 5.5 vs 5.6.,Independent QA and Product Owner review required before use.
H-CALCBC-012,apcalcbc-frq-027,topical_ambiguity,Proposed 7.5 vs 7.7.,Independent QA and Product Owner review required before use.
H-CALCBC-013,apcalcbc-frq-028,topical_ambiguity,Proposed 8.7 vs 8.8.,Independent QA and Product Owner review required before use.
H-CALCBC-014,apcalcbc-frq-029,topical_ambiguity,Proposed 9.2 vs 9.6.,Independent QA and Product Owner review required before use.
H-CALCBC-015,apcalcbc-frq-031,topical_ambiguity,Proposed 9.7 vs 9.8.,Independent QA and Product Owner review required before use.
H-CALCBC-016,apcalcbc-frq-033,topical_ambiguity,Proposed 10.1 vs 10.9.,Independent QA and Product Owner review required before use.
H-CALCBC-017,apcalcbc-frq-036,topical_ambiguity,Proposed 10.15 vs 7.2.,Independent QA and Product Owner review required before use.
H-CALCBC-018,apcalcbc-frq-np1-001,topical_ambiguity,Proposed 1.16 vs 1.15.,Independent QA and Product Owner review required before use.
H-CALCBC-019,apcalcbc-frq-np1-005,topical_ambiguity,Proposed 3.5 vs 2.8.,Independent QA and Product Owner review required before use.
H-CALCBC-020,apcalcbc-frq-np1-007,topical_ambiguity,Proposed 3.5 vs 3.1.,Independent QA and Product Owner review required before use.
H-CALCBC-021,apcalcbc-frq-np1-009,topical_ambiguity,Proposed 3.3 vs 3.4.,Independent QA and Product Owner review required before use.
H-CALCBC-022,apcalcbc-frq-u13-001,topical_ambiguity,Proposed 1.4 vs 1.13.,Independent QA and Product Owner review required before use.
H-CALCBC-023,apcalcbc-frq-u13-002,topical_ambiguity,Proposed 1.11 vs 1.13.,Independent QA and Product Owner review required before use.
H-CALCBC-024,apcalcbc-frq-u13-008,topical_ambiguity,Proposed 2.8 vs 2.3.,Independent QA and Product Owner review required before use.
H-CALCBC-025,apcalcbc-frq-u13-012,content_check_unclear,Proposed 1.14 vs 1.15.,Independent QA and Product Owner review required before use.
H-CALCBC-026,apcalcbc-frq-u13-015,topical_ambiguity,Proposed 2.10 vs 3.6.,Independent QA and Product Owner review required before use.
H-CALCBC-027,apcalcbc-frq-u13-020,topical_ambiguity,Proposed 3.2 vs 3.6.,Independent QA and Product Owner review required before use.
H-CALCBC-028,apcalcbc-mcq-002,signal_conflict,Proposed 3.5 vs 2.7; unit signal 2 conflicts.,Independent QA and Product Owner review required before use.
H-CALCBC-029,apcalcbc-mcq-007,undetermined,No defensible closed-list owner; weak runner-up 5.11.,Independent QA and Product Owner review required before use.
H-CALCBC-030,apcalcbc-mcq-011,topical_ambiguity,Proposed 6.8 vs 6.9.,Independent QA and Product Owner review required before use.
H-CALCBC-031,apcalcbc-mcq-np1-008,topical_ambiguity,Proposed 5.12 vs 3.2.,Independent QA and Product Owner review required before use.
