content_item_id,subject_key,canonical_answer_1_present,canonical_answer_matches_rubric,parts_structured,proposed_canonical_answer,flags,needs_human
3a187fa6-d745-463a-be2b-49579aa87a84,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: distribution_shape: To earn this point, make sure your response: correctly identifies skewed left or negative skew as most scores cluster at higher values",Draft is rubric-derived and requires human subject-matter approval.,true
649b4aec-efb7-4ed1-a606-6b873ed321b8,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: correlation_causation: To earn this point, make sure your response: correctly answers no and explains that correlation does not imply causation",Draft is rubric-derived and requires human subject-matter approval.,true
d2ac22b2-f075-41df-a05d-897aa44f436b,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: bias_identification: To earn this point, make sure your response: correctly identifies selection bias and explains its effect on the estimate (underestimates or overestimates daily average) | ci_calculation: To earn this point, make sure your response: correctly calculates 95% CI using a t-procedure (df = 29, since population sigma is unknown): 850 ± 2.045(120/√30) ≈ 850 ± 44.8 ≈ (805.2, 894.8) | ci_interpretation: To earn this point, make sure your response: interprets interval in context and discusses variability in daily sales | hypothesis_test: To earn this point, make sure your response: conducts one-sample t-test with H₀: μ = 800, interprets p-value, and makes conclusion in context | improved_sampling_design: To earn this point, make sure your response: proposes systematic or random sampling across all days; justifies sample size; addresses representativeness",Draft is rubric-derived and requires human subject-matter approval.,true
e053bb22-4805-44ab-9003-36b2e93987ab,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: blocking_decision: To earn this point, make sure your response: correctly identifies measurement time as a potential blocking factor and explains how blocking would improve precision | experimental_design: To earn this point, make sure your response: clearly specifies treatment/control groups, random assignment method, and addresses at least two confounding variables | hypothesis_test_execution: To earn this point, make sure your response: conducts two-sample t-test, calculates t-statistic correctly, and makes appropriate conclusion at α = 0.05 | significance_interpretation: To earn this point, make sure your response: distinguishes statistical significance (p < α) from practical significance (4 bpm difference may/may not be clinically meaningful)",Draft is rubric-derived and requires human subject-matter approval.,true
40c0226d-ff9d-4927-8c72-75b1cdbc2dd2,ap-statistics,false,na,false,DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: design-groups: Name a treatment group that receives tutoring and a control group that does not. | design-outcome: Name a specific performance measure and describe comparing it between the treatment and control groups. | design-random-assignment: State that students are randomly assigned to the treatment or control group.,Draft is rubric-derived and requires human subject-matter approval.,true
a2a8e8f7-f1f4-444f-a31d-cef8ec4d3c11,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: census_vs_sample: To earn this point, make sure your response: distinguishes census (all units) from sample (subset), and provides appropriate contexts for each",Draft is rubric-derived and requires human subject-matter approval.,true
c2f7d698-bd32-4f2e-bb91-c2119089c233,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: visual_description: To earn this point, make sure your response: identifies a positive, roughly linear, moderate-to-strong relationship and no obvious outliers",Draft is rubric-derived and requires human subject-matter approval.,true
c620d7d3-1a93-49ac-8d81-654c7767125f,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: causation_vs_correlation: To earn this point, make sure your response: correctly concludes no causation from correlation; explicitly discusses confounding variable possibility | confounding_variables: To earn this point, make sure your response: identifies three plausible confounders (e.g., personality type, sleep, peer relationships) with explanations | experimental_advantage: To earn this point, make sure your response: explains how randomization and control group reduce confounding and allow causal inference | experimental_conclusion: To earn this point, make sure your response: correctly interprets p-value and makes conclusion in context; identifies at least two assumptions (e.g., normality, independence)",Draft is rubric-derived and requires human subject-matter approval.,true
6a376f40-6f50-42b9-b478-27f91cd92aa1,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: descriptive_statistics: To earn this point, make sure your response: correctly calculates mean as 20 and sample standard deviation as approximately 7.91",Draft is rubric-derived and requires human subject-matter approval.,true
d070712f-9e57-4a0b-8af1-ef22b932dd3d,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: conclusion: To earn this point, make sure your response: makes appropriate conclusion based on p-value and significance level | hypotheses_setup: To earn this point, make sure your response: correctly states null and alternative hypotheses | test_calculation: To earn this point, make sure your response: correctly calculates t-statistic and degrees of freedom",Draft is rubric-derived and requires human subject-matter approval.,true
a067f214-64d3-48f4-b267-c41ce5fc5e5d,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: exploratory_analysis: To earn this point, make sure your response: describes a moderately strong positive linear association using r = 0.75 and the supplied summaries | model_recommendation: To earn this point, make sure your response: recommends cautious within-range prediction, interprets R² = 0.5625, and discusses uncertainty and extrapolation limits | regression_fitting: To earn this point, make sure your response: interprets slope 0.0025 GPA points per SAT point and notes that the intercept at SAT = 0 is outside context | residual_diagnostics: To earn this point, make sure your response: uses the random zero-centered residuals and constant spread to support linearity and equal variance, while noting normality is not established by this description",Draft is rubric-derived and requires human subject-matter approval.,true
5808c609-bc29-476a-a404-afa15124ebf3,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: confidence_interval_interpretation: To earn this point, make sure your response: correctly interprets that there's 95% confidence the population mean is between 45 and 55",Draft is rubric-derived and requires human subject-matter approval.,true
7d8d53e7-8dc5-4175-b972-688ffe5f9edf,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: chi_square_test: To earn this point, make sure your response: calculates chi-square statistic correctly, identifies degrees of freedom, finds p-value, and makes conclusion at α = 0.05 | contextual_interpretation: To earn this point, make sure your response: concludes about association in context; discusses limitations (e.g., causation, sampling method, self-report bias, generalizability) | contingency_table: To earn this point, make sure your response: correctly constructs complete table with proper row/column organization, all counts, and marginal totals from given percentages | probability_analysis: To earn this point, make sure your response: calculates conditional probabilities (e.g., P(STEM|low anxiety), P(STEM|high anxiety)) and interprets differences meaningfully",Draft is rubric-derived and requires human subject-matter approval.,true
35c5517b-23ad-497f-8eb5-10a36b7bcc11,ap-statistics,false,na,false,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: slope_interpretation: To earn this point, make sure your response: correctly interprets that for each unit increase in x, y increases by 3 units on average",Draft is rubric-derived and requires human subject-matter approval.,true
0d5cc3fa-48fa-44d6-a0c9-c8e9d6067a6e,ap-statistics,false,na,true,"DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: part-a-criterion-01: Recompute each count divided by the total of 80 students. | part-a-criterion-02: Add the division step for at least one category, e.g., 32 ÷ 80. | part-b-criterion-01: Redraw bars so their heights match the computed relative frequencies or counts in the correct rank order. | part-b-criterion-02: Add axis labels identifying the categories and the count/relative-frequency scale, plus a title. | part-b-criterion-03: Redraw with uniform bar widths and gaps between bars. | part-c-criterion-01: Reread the counts/relative frequencies and identify the largest (Sports) and smallest (Music) categories. | part-c-criterion-02: Add a numeric comparison between the most and least common categories using the computed values. | part-d-criterion-01: State that activity is a categorical variable since its values are named groups, not numbers. | part-d-criterion-02: Explain that bar graphs display counts/frequencies for distinct category labels. | part-d-criterion-03: Add that histograms are for quantitative variables with numeric intervals, which activity data does not have.",Draft is rubric-derived and requires human subject-matter approval.,true
d49c417a-ffc9-4836-a070-bd356e021b69,ap-statistics,false,na,true,DRAFT PROPOSAL FOR HUMAN APPROVAL ONLY. Answer each rubric criterion explicitly: part-a-criterion-01: Use the addition rule for mutually exclusive events: P(red or blue) = P(red) + P(blue). | part-a-criterion-02: Recompute 3/8 + 2/8. | part-b-criterion-01: Apply the complement rule using P(green) = 2/8. | part-b-criterion-02: Recompute 1 − 2/8. | part-c-criterion-01: State the classification: mutually exclusive. | part-c-criterion-02: Explain that a single spin cannot simultaneously produce two different colors. | part-c-criterion-03: State that mutually exclusive events satisfy P(A and B) = 0. | part-d-criterion-01: Apply the multiplication rule for independent events: P(A and B) = P(A) × P(B). | part-d-criterion-02: Set up the product of the two individual probabilities of red. | part-d-criterion-03: Recompute (3/8) × (3/8).,Draft is rubric-derived and requires human subject-matter approval.,true
