content_key,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,existing_author_code,content_disagrees,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version
"apcalcab-frq-001","ap-calculus-ab","frq","1","1.13","Removing Discontinuities","derived","medium","The stem/rubric centers on filling a removable discontinuity and then testing differentiability, which most directly matches Removing Discontinuities.","","false","1.11","false","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-002","ap-calculus-ab","frq","1","1.16","Working with the Intermediate Value Theorem","derived","high","The stem/rubric centers on existence of zeros under the Intermediate Value Theorem, which most directly matches Working with the Intermediate Value Theorem.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-003","ap-calculus-ab","frq","4","4.2","Straight-Line Motion: Connecting Position, Velocity, and Acceleration","derived","high","The stem/rubric centers on position differentiated to velocity and acceleration in straight-line motion, which most directly matches Straight-Line Motion: Connecting Position, Velocity, and Acceleration.","","false","","true","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-004","ap-calculus-ab","frq","4","4.6","Approximating Values of a Function Using Local Linearity and Linearization","derived","high","The stem/rubric centers on a tangent-line approximation with concavity error analysis, which most directly matches Approximating Values of a Function Using Local Linearity and Linearization.","","false","","true","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-005","ap-calculus-ab","frq","3","3.2","Implicit Differentiation","derived","high","The stem/rubric centers on implicit differentiation and a normal line, which most directly matches Implicit Differentiation.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-006","ap-calculus-ab","frq","3","3.3","Differentiating Inverse Functions","derived","high","The stem/rubric centers on derivatives of an inverse function and an inverse composition, which most directly matches Differentiating Inverse Functions.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-007","ap-calculus-ab","frq","4","4.5","Solving Related Rates Problems","derived","high","The stem/rubric centers on related rates for balloon volume and surface area, which most directly matches Solving Related Rates Problems.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-008","ap-calculus-ab","frq","8","8.3","Using Accumulation Functions and Definite Integrals in Applied Contexts","derived","medium","The stem/rubric centers on net accumulation from inflow minus outflow and intervals of increase, which most directly matches Using Accumulation Functions and Definite Integrals in Applied Contexts.","","false","6.5","true","true","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-009","ap-calculus-ab","frq","5","5.4","Using the First Derivative Test","derived","high","The stem/rubric centers on classification of critical numbers using the sign of f prime, which most directly matches Using the First Derivative Test.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
"apcalcab-frq-010","ap-calculus-ab","frq","5","5.5","Using the Candidates Test to Determine Absolute Extrema","derived","high","The stem/rubric centers on absolute extrema on a closed interval using candidates, which most directly matches Using the Candidates Test to Determine Absolute Extrema.","","false","","false","false","33b4408b-0ecc-4c7a-b0b1-612db81164a1"
