id,content_key,category,question_or_issue,disposition
H-PHY1-001,apphy1-frq-001,topical_ambiguity,Proposed 1.2 vs 2.5.,Independent QA and Product Owner review required before use.
H-PHY1-002,apphy1-frq-014,topical_ambiguity,Proposed 6.5 vs 3.4.,Independent QA and Product Owner review required before use.
H-PHY1-003,apphy1-frq-021,content_check_unclear,Proposed 2.2 vs 2.5.,Independent QA and Product Owner review required before use.
H-PHY1-004,apphy1-frq-024,topical_ambiguity,Proposed 2.1 vs 4.3.,Independent QA and Product Owner review required before use.
H-PHY1-005,apphy1-frq-025,topical_ambiguity,Proposed 3.2 vs 3.5.,Independent QA and Product Owner review required before use.
H-PHY1-006,apphy1-frq-046,topical_ambiguity,Proposed 2.7 vs 2.5.,Independent QA and Product Owner review required before use.
H-PHY1-007,apphy1-frq-053,topical_ambiguity,Proposed 3.2 vs 2.7.,Independent QA and Product Owner review required before use.
H-PHY1-008,apphy1-frq-np1-004,topical_ambiguity,Proposed 2.7 vs 2.5.,Independent QA and Product Owner review required before use.
H-PHY1-009,apphy1-frq-np2-007,topical_ambiguity,Proposed 7.2 vs 7.4.,Independent QA and Product Owner review required before use.
H-PHY1-010,apphy1-mcq-042,topical_ambiguity,Proposed 4.1 vs 4.2.,Independent QA and Product Owner review required before use.
H-PHY1-011,apphy1-mcq-np1-001,topical_ambiguity,Proposed 1.3 vs 1.2.,Independent QA and Product Owner review required before use.
H-PHY1-012,apphy1-mcq-np1-002,undetermined,Scoring-policy item has no defensible CED content topic.,Independent QA and Product Owner review required before use.
H-PHY1-013,apphy1-mcq-np1-006,topical_ambiguity,Proposed 2.6.,Independent QA and Product Owner review required before use.
H-PHY1-014,apphy1-mcq-np1-008,topical_ambiguity,Proposed 3.2 vs 2.7.,Independent QA and Product Owner review required before use.
H-PHY1-015,apphy1-mcq-np2-003,topical_ambiguity,Proposed 4.2 vs 4.4.,Independent QA and Product Owner review required before use.
