content_key,item_type,difficulty,basis,rationale
APBIO-FRQ-L-003,frq,Medium,task verb,"verb(s): determines, explains, predicts"
APBIO-FRQ-L-004,frq,Medium,task verb,"verb(s): describe, predict, write"
APBIO-FRQ-L-006,frq,Medium,task verb,"verb(s): analyze, explain, identify"
APBIO-FRQ-L-008,frq,Medium,task verb,"verb(s): calculates, compares, describes, explain, explains, predicts"
APBIO-FRQ-L-012,frq,Medium,task verb,"verb(s): classify, describe, explain"
APBIO-FRQ-L-013,frq,Medium,task verb,"verb(s): describe, explain, predict, trace"
APBIO-FRQ-L-014,frq,Medium,task verb,"verb(s): describe, explain, predict"
APBIO-FRQ-L-015,frq,Medium,task verb,"verb(s): describe, explain, identify"
APBIO-FRQ-L-016,frq,Hard,task verb,"verb(s): describe, evaluate, explain"
APBIO-FRQ-L-017,frq,Medium,task verb,"verb(s): compare, describe, explain, predict"
APBIO-FRQ-L-019,frq,Medium,task verb,"verb(s): determine, explain"
APBIO-FRQ-L-021,frq,Medium,task verb,"verb(s): describe, explain"
APBIO-FRQ-L-026,frq,Medium,task verb,verb(s): explain
APBIO-FRQ-L-030,frq,Medium,task verb,verb(s): explain
APBIO-FRQ-L-031,frq,Hard,task verb,"verb(s): describe, predict, propose"
APBIO-FRQ-L-036,frq,Hard,task verb,"verb(s): describe, evaluate, explain, predict"
APBIO-FRQ-S-003,frq,Medium,task verb,"verb(s): explain, trace"
APBIO-FRQ-S-006,frq,Medium,task verb,"verb(s): compare, explain"
APBIO-FRQ-S-007,frq,Medium,task verb,"verb(s): construct, state"
APBIO-FRQ-S-009,frq,Medium,judgement,"Recall of three mRNA processing steps plus function; single unit, no data reasoning"
APBIO-FRQ-S-010,frq,Medium,judgement,Natural-selection mechanism chain from a described scenario
APBIO-FRQ-S-011,frq,Hard,judgement,Hardy-Weinberg computation plus conceptual justification of the large-population condition
APBIO-FRQ-S-016,frq,Medium,judgement,Allopatric speciation mechanism; standard taught sequence
APBIO-FRQ-S-017,frq,Medium,judgement,Trophic energy loss; standard mechanism plus 10% reasoning
APBIO-FRQ-S-019,frq,Medium,task verb,"verb(s): explains, states"
APBIO-FRQ-S-020,frq,Medium,judgement,Glucose homeostasis negative-feedback chain
APBIO-FRQ-S-021,frq,Easy,judgement,Peptide bond and dehydration synthesis; direct recall
APBIO-FRQ-S-023,frq,Medium,judgement,Enzyme pH and active-site conformation; familiar experimental setup
APBIO-FRQ-S-025,frq,Easy,judgement,Water properties; direct recall of taught properties
APBIO-FRQ-S-026,frq,Medium,task verb,"verb(s): explains, identifies"
APBIO-FRQ-S-028,frq,Easy,task verb,verb(s): identifies
APBIO-FRQ-S-029,frq,Medium,task verb,"verb(s): describe, explain"
APBIO-FRQ-S-031,frq,Medium,task verb,verb(s): explain
APBIO-FRQ-S-032,frq,Medium,judgement,Facilitated diffusion mechanism for a polar solute
