batch_id,subject_key,item_type,content_key,content_item_version_id,production_status,frq_form,review_stage,tutor_a_status,tutor_b_status,aggregate_status,selection_reason,stem_preview
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-001,bb73873d-0404-4f41-b895-3eefaae8d838,published,,tutor_question,unassigned,not_required,pending,published_live_surface,"Which measure of center and spread is most appropriate to report for this distribution, and why?"
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-002-CAL,f8ec7c37-02ef-4086-8ff2-1171c2035825,draft,,tutor_question,unassigned,not_required,pending,calculator_mcq,"Which student performed better relative to their own test's distribution, and by how many standard deviations above the mean?"
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-004,ff356650-a4ab-465f-b88c-07034c430457,published,,tutor_question,unassigned,not_required,pending,published_live_surface,What does this residual plot most strongly suggest about the appropriateness of the linear model?
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-006,52baca14-9fb0-4cfb-91c7-6dba0aed87bf,published,,tutor_question,unassigned,not_required,pending,published_live_surface,What is the primary statistical benefit of this design compared to completely randomizing fertilizer type across all 40 plants without regard to sun exposure?
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-007-CAL,1a3ef4df-21ce-4d21-aaff-91bf7b826fd2,draft,,tutor_question,unassigned,not_required,pending,calculator_mcq,What is the probability that the wheel lands on red on the next spin?
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-009,94f4f048-f75c-49f5-8945-0711142dadbb,published,,tutor_question,unassigned,not_required,pending,published_live_surface,"As the sample size n increases from 10 to 100, what happens to the shape and variability of the sampling distribution of x-bar?"
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-011,fdd35952-554d-47c4-ae1d-254e9a43c2e1,published,,tutor_question,unassigned,not_required,pending,published_live_surface,Which is a correct interpretation of this confidence interval?
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-012-CAL,40030ed4-2570-4d29-ab70-10eb3da8a4fe,draft,,tutor_question,unassigned,not_required,pending,calculator_mcq,"Using a significance level of alpha = 0.05, which is the correct conclusion in context?"
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-014,d7ac1584-cdac-47a3-8705-e90c3930dab1,published,,tutor_question,unassigned,not_required,pending,published_live_surface,Which inference procedure is appropriate for testing whether the stretching routine changes mean run time?
STATS-RV-B1,ap-statistics,mcq,APSTATS-MCQ-016,f8b29565-3d29-4bc0-ac60-a86e5c8f2929,published,,tutor_question,unassigned,not_required,pending,published_live_surface,What is the best course of action given this situation?
STATS-RV-B1,ap-statistics,frq,APSTAT-MOD3-E001,6a53aca8-5fd9-41ea-a209-f542eb18b921,draft,short,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,A normal distribution has mean 100 and standard deviation 15. Approximately what percentage of values fall within one standard deviation of the mean?
STATS-RV-B1,ap-statistics,frq,APSTATS-HDG-2026-GRAPH-001,ae3fd164-f16b-4f23-b1a7-c86e72c7c3ab,published,short,tutor_question,unassigned,not_required,pending,hdg_spatial_modality,Answer the following question. Submit one photograph showing your constructed graph and your written response together.
STATS-RV-B1,ap-statistics,frq,STATS-MOD1-E001,500a0a0c-f82d-498c-a53d-c523624edda7,draft,short,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Define statistics and explain the difference between descriptive and inferential statistics.
STATS-RV-B1,ap-statistics,frq,APSTATS-SFRQ-001,ec218044-fa22-45a3-9371-7fce48c108e8,published,short,tutor_question,unassigned,not_required,pending,published_live_surface,Answer all parts of the following question.
STATS-RV-B1,ap-statistics,frq,APSTAT-MOD3-E005,bd6662e5-ef20-4a53-8c9f-0a4010d2470c,draft,short,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Two variables are said to have a strong correlation. Does this mean one causes the other?
STATS-RV-B1,ap-statistics,frq,APSTATS-HDG-2026-GRAPH-005,51978e67-36b4-4df8-847d-7b8d7f83261d,published,short,tutor_question,unassigned,not_required,pending,hdg_spatial_modality,Answer the following question. Submit one photograph showing your constructed graph and your written response together.
STATS-RV-B1,ap-statistics,frq,STATS-MOD1-E005,f4297ecb-da88-4422-a13a-d347231ebc68,draft,short,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,"Identify whether each scenario involves a parameter or a statistic: (a) average salary of all employees at a company, (b) average salary from a sample of 100 employees."
STATS-RV-B1,ap-statistics,frq,APSTATS-SFRQ-005,0838c753-d383-48c5-a22f-aab1672eae4f,published,short,tutor_question,unassigned,not_required,pending,published_live_surface,Answer all parts of the following question.
STATS-RV-B1,ap-statistics,frq,APSTAT-MOD4-M003,15a93acc-e093-49fc-ae64-baa0e77a2c5c,draft,short,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Explain the difference between a census and a sample survey. When would you use each?
STATS-RV-B1,ap-statistics,frq,APSTATS-HDG-2026-GRAPH-009,d4869742-f11e-47cb-8a6c-768153859720,published,short,tutor_question,unassigned,not_required,pending,hdg_spatial_modality,Answer the following question. Submit one photograph showing your constructed graph and your written response together.
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-017-CAL,14864d09-6699-438b-a8fc-ad464a73e95d,draft,,tutor_question,unassigned,not_required,pending,calculator_mcq,"Which is the correct interpretation of the standard error of the slope, SE(b) = 0.6, in this context?"
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-020,7141715f-825a-4e51-be11-dabb120371ca,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,What is the z-score for a student who scored 78?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-023,8e478e2a-08ac-41c1-9048-f345cc3df2bb,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which measure is most resistant to the outlier 40?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-026,d9e286a3-74b3-4844-ab0a-63ba55fd63be,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,What does that mean?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-030,0a00c482-74fc-4a7a-8acf-9abbcb54596e,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which prediction is most appropriate?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-033,745c5d49-8013-433e-a0e7-7f24217e8026,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which lurking variable is the best explanation?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-036,86c4d1f9-5590-4a87-85f3-30a49904cabd,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which correlation value is most plausible?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-040,72ff2392-7b2e-4949-95f5-d556d3fdd6ff,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,How could blocking help?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-043,b198739b-0eaa-44bf-b553-d1b8e34f31a1,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,What bias is most likely?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-047,f3989253-05a9-487a-80da-a9cc317c5a2a,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Are A and B independent?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-050,d7e0f2f6-6450-4a15-b928-c8c176c147a4,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,What is the probability that it does not rain?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-053,606835ad-faa0-45de-9e59-fc31ea724592,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which counting method is appropriate?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-057,89cb0fc2-0252-4f31-ad05-5ac287e78a38,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Why is the sampling distribution of x̄ often approximately normal?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-060,0ea7e612-9966-4a29-8b89-f5465316c4c1,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,What is the main problem?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-063,b0d4e487-4202-4edd-842b-c6d01b1d0768,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,What is the power of the test?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-067,8c4d5425-a4ed-4d80-b6a8-a30e08a243ed,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which hypotheses are correct?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-070,05ff0a70-0ce4-47e4-8310-7d9241ae2af1,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which change would help most directly?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-074,d070a56f-521f-402b-b2ca-96c273b28c16,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which formula correctly finds P(machine B | defective)?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-077,4960b721-1f04-41b1-be36-284e4a6fd345,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,What is the variance?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-080,17ad586e-f311-4f7d-b02f-5fcdd9ae6fbe,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which conclusion is correct?
STATS-RV-B2,ap-statistics,mcq,APSTATS-MCQ-084,6e950b9f-b741-4ee0-bf9e-c2a394fc626a,draft,,tutor_question,unassigned,not_required,pending,draft_beta_pipeline,Which interpretation is correct?
