content_key,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,existing_author_code,content_check,content_disagrees,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version,evidence_fields_used,template_family
apphycem-frq-001,ap-physics-c-em,frq,8,8.6,Gauss's Law,derived,high,"The complete item most directly assesses Gauss's Law: Answer all parts of the following question. (a) Derive the electric field inside the nonconducting sphere as a function of r, and evaluate the result in…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:8.6
apphycem-frq-004,ap-physics-c-em,frq,11,11.8,Resistor Capacitor (RC) Circuits,derived,high,"The complete item most directly assesses Resistor Capacitor (RC) Circuits: Answer all parts of the following question. (a) Derive the capacitor's voltage and current as functions of time during discharge, and evaluate the resul…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:11.8
apphycem-frq-005,ap-physics-c-em,frq,12,12.4,Ampère's Law,derived,high,"The complete item most directly assesses Ampère's Law: Answer all parts of the following question. (a) Translate Ampere's law applied to this wire into a labeled diagram of the Amperian loop, and explain how…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:12.4
apphycem-frq-006,ap-physics-c-em,frq,13,13.5,Circuits with Resistors and Inductors (LR Circuits),derived,high,"The complete item most directly assesses Circuits with Resistors and Inductors (LR Circuits): Answer all parts of the following question. (a) Translate the LR circuit's governing differential equation into a labeled graph of current versus time, …",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:13.5
apphycem-frq-008,ap-physics-c-em,frq,9,9.2,Electric Potential,derived,high,"The complete item most directly assesses Electric Potential: Answer all parts of the following question. (a) Translate the potential function V(x) into a labeled graph, and explain how its slope determines the dir…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:9.2
apphycem-frq-009,ap-physics-c-em,frq,10,10.3,Capacitors,derived,high,The complete item most directly assesses Capacitors: Answer all parts of the following question. (a) Design a feasible measurement that tests the parallel-plate capacitance relation (C=εA/d); identify the …,,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:10.3
apphycem-frq-010,ap-physics-c-em,frq,11,11.8,Resistor Capacitor (RC) Circuits,derived,high,"The complete item most directly assesses Resistor Capacitor (RC) Circuits: Answer all parts of the following question. (a) Design a feasible measurement that tests the RC discharge relation; identify the independent variable, d…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:11.8
apphycem-frq-011,ap-physics-c-em,frq,12,12.3,Magnetic Fields of Current-Carrying Wires and the Biot-Savart Law,derived,high,The complete item most directly assesses Magnetic Fields of Current-Carrying Wires and the Biot-Savart Law: Answer all parts of the following question. (a) Design an experiment that tests the predicted dependence B proportional to 1/r at fixed current. Identif…,,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:12.3
apphycem-frq-012,ap-physics-c-em,frq,13,13.5,Circuits with Resistors and Inductors (LR Circuits),derived,high,The complete item most directly assesses Circuits with Resistors and Inductors (LR Circuits): Answer all parts of the following question. (a) Design a feasible measurement that tests the LR circuit's current-growth relation; identify the independ…,,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:13.5
apphycem-frq-013,ap-physics-c-em,frq,8,8.6,Gauss's Law,derived,high,"The complete item most directly assesses Gauss's Law: Answer all parts of the following question. (a) At a radius r that lies inside both the original sphere and the enlarged sphere (r<R), predict how the e…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:8.6
apphycem-frq-014,ap-physics-c-em,frq,9,9.2,Electric Potential,derived,high,The complete item most directly assesses Electric Potential: Answer all parts of the following question. (a) Derive Eₓ(x) and determine the ratio of the new field to the original field at the same fixed position x…,,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:9.2
apphycem-frq-015,ap-physics-c-em,frq,10,10.3,Capacitors,derived,high,"The complete item most directly assesses Capacitors: Answer all parts of the following question. (a) Predict how the voltage, electric field, and stored energy each change when the charge Q on the capacito…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:10.3
apphycem-frq-016,ap-physics-c-em,frq,11,11.8,Resistor Capacitor (RC) Circuits,derived,high,"The complete item most directly assesses Resistor Capacitor (RC) Circuits: Answer all parts of the following question. (a) Predict how the discharge time constant, the initial current, and the rate of current decay each change …",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:11.8
apphycem-frq-017,ap-physics-c-em,frq,8,8.4,Electric Fields of Charge Distributions,recovered_author_code,high,The author code is retained after checking the complete item Electric Fields of Charge Distributions: Answer all parts of the following question. (a) Set up the electric-field integral and explain which components cancel. (b) Evaluate the axial electric …,8.4,agrees,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:8.4
apphycem-frq-018,ap-physics-c-em,frq,8,8.6,Gauss's Law,derived,high,The complete item most directly assesses Gauss's Law: Answer all parts of the following question. (a) Draw a pillbox Gaussian surface and represent the electric-field directions. (b) Use Gauss's law to deri…,,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:8.6
apphycem-frq-020,ap-physics-c-em,frq,8,8.4,Electric Fields of Charge Distributions,derived,high,The complete item most directly assesses Electric Fields of Charge Distributions: Answer all parts of the following question. (a) Set up and evaluate the electric field at P. (b) Determine total rod charge and compare the exact field …,,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:8.4
apphycem-frq-021,ap-physics-c-em,frq,9,9.2,Electric Potential,derived,medium,The complete item most directly assesses Electric Potential: Answer all parts of the following question. (a) Build the disk from rings and calculate the potential at P. (b) Obtain the axial electric field from the…,,,false,8.4,false,true,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:9.2
apphycem-frq-022,ap-physics-c-em,frq,9,9.3,Conservation of Electric Energy,recovered_author_code,high,"The author code is retained after checking the complete item Conservation of Electric Energy: Answer all parts of the following question. (a) Sketch V(x), U(x), and E_x(x). (b) Determine the charge's speed at x=L after it is released from rest at…",9.3,agrees,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:9.3
apphycem-frq-023,ap-physics-c-em,frq,9,9.2,Electric Potential,recovered_author_code,high,The author code is retained after checking the complete item Electric Potential: Answer all parts of the following question. (a) Describe how to obtain the electric-field components from the measured grid. (b) Give an uncertainty-awa…,9.2,agrees,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:9.2
apphycem-frq-025,ap-physics-c-em,frq,10,10.4,Dielectrics,derived,high,"The complete item most directly assesses Dielectrics: Answer all parts of the following question. (a) Design a procedure to determine dielectric constant κ. (b) Predict voltage, field, and stored energy aft…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:10.4
apphycem-frq-026,ap-physics-c-em,frq,11,11.1,Electric Current,recovered_author_code,high,The author code is retained after checking the complete item Electric Current: Answer all parts of the following question. (a) Determine total current. (b) Determine the radius enclosing half the total current.,11.1,agrees,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:11.1
apphycem-frq-027,ap-physics-c-em,frq,11,11.6,Kirchhoff's Loop Rule,derived,medium,"The complete item most directly assesses Kirchhoff's Loop Rule: Answer all parts of the following question. (a) Draw and label the clockwise mesh-current directions i₁ and i₂, draw the circuit showing both sources' p…",,,false,11.5,false,true,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:11.6
apphycem-frq-028,ap-physics-c-em,frq,11,11.3,"Resistance, Resistivity, and Ohm's Law",derived,high,"The complete item most directly assesses Resistance, Resistivity, and Ohm's Law: Answer all parts of the following question. (a) Design a procedure to determine the temperature coefficient α in ρ=ρ₀[1+α(T-T₀)]. (b) State a graph, con…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:11.3
apphycem-frq-029,ap-physics-c-em,frq,11,11.8,Resistor Capacitor (RC) Circuits,recovered_author_code,high,The author code is retained after checking the complete item Resistor Capacitor (RC) Circuits: Answer all parts of the following question. Define positive current as flowing onto the capacitor plate that initially has charge +Q0. (a) Derive the go…,11.8,agrees,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:11.8
apphycem-frq-031,ap-physics-c-em,frq,12,12.4,Ampère's Law,derived,high,The complete item most directly assesses Ampère's Law: Answer all parts of the following question. (a) Draw an Amperian circle and derive B(r) for a<r<b. (b) State the ideal field for r<a and r>b and explain…,,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:12.4
apphycem-frq-032,ap-physics-c-em,frq,12,12.2,Magnetism and Moving Charges,derived,high,"The complete item most directly assesses Magnetism and Moving Charges: Answer all parts of the following question. (a) Design a test of τ=NIAB sinθ, where θ is the angle between the coil's magnetic moment (the normal to the…",,,false,,false,false,ef9618c9-de85-4941-8837-4dce4c755e62,stem+stimulus+rubric,legacy:frq:12.2
