content_key,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,existing_author_code,content_check,content_disagrees,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version,evidence_fields_used,template_family
apprecalc-frq-001,ap-precalculus,frq,1,1.4,Polynomial Functions and Rates of Change,derived,medium,The complete item most directly assesses Polynomial Functions and Rates of Change: Part A: Find and interpret the average rate of change from x=0 to x=2. Part B: Find a quadratic matching all four values and verify it by substitution. …,,,false,1.14,false,true,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:1.4
apprecalc-frq-002,ap-precalculus,frq,2,2.10,Inverses of Exponential Functions,derived,medium,The complete item most directly assesses Inverses of Exponential Functions: Part A: Identify the initial value and percent change per unit time. Part B: Solve E(t)=30 and give a decimal approximation. Part C: Describe the invers…,,,false,2.5,false,true,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:2.10
apprecalc-frq-003,ap-precalculus,frq,3,3.6,Sinusoidal Function Transformations,derived,medium,The complete item most directly assesses Sinusoidal Function Transformations: Part A: State the range and where each extreme occurs. Part B: Solve T(θ)=4 on the stated interval. Part C: Explain the transformation from y=cos θ.,,,false,3.10,false,true,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:3.6
apprecalc-frq-004,ap-precalculus,frq,2,2.8,Inverse Functions,derived,high,The complete item most directly assesses Inverse Functions: Part A: Verify algebraically that f and g are inverses. Part B: Find f(g(8)) and interpret the result. Part C: Compare the graphs of f and g.,,,false,,false,false,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:2.8
apprecalc-frq-005,ap-precalculus,frq,1,1.14,Function Model Construction and Application,derived,high,The complete item most directly assesses Function Model Construction and Application: Part A: Find the production level that maximizes modeled profit and justify that it is a maximum. Part B: Find and interpret the maximum profit. Part C:…,,,false,,false,false,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:1.14
apprecalc-frq-006,ap-precalculus,frq,1,1.7,Rational Functions and End Behavior,derived,high,The complete item most directly assesses Rational Functions and End Behavior: Part A: Find C(0) and the horizontal limiting value. Part B: Determine whether C is increasing or decreasing. Part C: Solve C(t)=3 and interpret.,,,false,,false,false,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:1.7
apprecalc-frq-007,ap-precalculus,frq,2,2.5,Exponential Function Context and Data Modeling,derived,medium,"The complete item most directly assesses Exponential Function Context and Data Modeling: Part A: Find D(5) and interpret it. Part B: Find the boundary time when the excess temperature equals 10°C, and state the interval of times for which it…",,,false,2.13,false,true,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:2.5
apprecalc-frq-009,ap-precalculus,frq,3,3.7,Sinusoidal Function Context and Data Modeling,derived,high,"The complete item most directly assesses Sinusoidal Function Context and Data Modeling: Part A: Find the amplitude and midline. Part B: Write a cosine model with its maximum at t=15, and explain how the angular coefficient gives the model's…",,,false,,false,false,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:3.7
apprecalc-frq-010,ap-precalculus,frq,3,3.7,Sinusoidal Function Context and Data Modeling,derived,high,The complete item most directly assesses Sinusoidal Function Context and Data Modeling: Part A: Write a height model and verify that it has the stated initial height and period. Part B: Find the first time the rider reaches height 14 meters…,,,false,,false,false,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:3.7
apprecalc-frq-011,ap-precalculus,frq,3,3.7,Sinusoidal Function Context and Data Modeling,derived,medium,The complete item most directly assesses Sinusoidal Function Context and Data Modeling: Part A: State the period and range. Part B: Find all times when H(t)=5.9. Part C: Determine whether the depth is rising or falling at t=5 without calculus.,,,false,3.10,false,true,16383753-6775-430d-960a-544cd6ee0972,stem+stimulus+rubric,legacy:frq:3.7
