content_key,item_type,difficulty,basis,authored_difficulty
apchem-mcq-001,mcq,Easy,C1 single-step algorithmic calculation,Easy
apchem-mcq-003,mcq,Easy,C1 direct recall of a fundamental concept or trend,Easy
apchem-mcq-004,mcq,Easy,C1 direct recall of a fundamental concept or trend,Easy
apchem-mcq-005,mcq,Easy,C1 direct recall of a fundamental concept or trend,Easy
apchem-mcq-006,mcq,,unclassified,Medium
apchem-mcq-007,mcq,,unclassified,Medium
apchem-mcq-008,mcq,Easy,C1 single-step algorithmic calculation,Medium
apchem-mcq-009,mcq,,unclassified,Medium
apchem-mcq-010,mcq,,unclassified,Medium
apchem-mcq-011,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Medium
apchem-mcq-012,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Medium
apchem-mcq-013,mcq,Easy,C1 single-step algorithmic calculation,Medium
apchem-mcq-014,mcq,Easy,C1 direct recall of a fundamental concept or trend,Hard
apchem-mcq-015,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Hard
apchem-mcq-016,mcq,Hard,C3 synthesis / deviation / design evaluation,Hard
apchem-mcq-017,mcq,,unclassified,Hard
apchem-mcq-018,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Hard
apchem-mcq-019,mcq,Easy,C1 direct recall of a fundamental concept or trend,Very Hard
apchem-mcq-020,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Very Hard
apchem-mcq-021,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-022,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-023,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-024,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-025,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-026,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-027,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-028,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-029,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-030,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-031,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-032,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-033,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-034,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-035,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-036,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-037,mcq,,unclassified,
apchem-mcq-038,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-039,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-040,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-041,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-042,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-043,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-044,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-045,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-046,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-047,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-048,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-049,mcq,,unclassified,
apchem-mcq-051,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-052,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-053,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-054,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-055,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-056,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-057,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-058,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-059,mcq,,unclassified,
apchem-mcq-060,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-061,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-062,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-063,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-064,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-065,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-066,mcq,,unclassified,
apchem-mcq-067,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-068,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-069,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-070,mcq,,unclassified,
