content_key,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,existing_author_code,content_check,content_disagrees,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version,evidence_fields_used,template_family
apphy1-frq-001,ap-physics-1,frq,1,1.2,"Displacement, Velocity, and Acceleration",derived,medium,"The stem and rubric assess: (a) Derive the cart's velocity and displacement after 4.00 s of uniform acceleration, and evaluate their numeric values. (b) Explain how the consta…; this most directly matches Displacement, Velocity, and Acceleration.",,,false,2.5,false,true,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-1.2
apphy1-frq-012,ap-physics-1,frq,4,4.4,Elastic and Inelastic Collisions,derived,high,"The stem and rubric assess: (a) Design a feasible measurement that tests conservation of momentum; identify the independent variable, dependent variable, one control, and brie…; this most directly matches Elastic and Inelastic Collisions.",,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:experimental:topic-4.4
apphy1-frq-014,ap-physics-1,frq,6,6.5,Rolling,derived,medium,"The stem and rubric assess: (a) Predict how the cylinder's speed at the bottom changes when the drop height doubles, and justify the prediction quantitatively. (b) Starting fr…; this most directly matches Rolling.",,,false,3.4,false,true,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-6.5
apphy1-frq-015,ap-physics-1,frq,7,7.4,Energy of Simple Harmonic Oscillators,derived,high,"The stem and rubric assess: (a) Predict how the angular frequency and maximum speed each change when the oscillation amplitude is doubled, and justify the prediction quantitat…; this most directly matches Energy of Simple Harmonic Oscillators.",,,false,7.2,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-7.4
apphy1-frq-017,ap-physics-1,frq,6,6.6,Motion of Orbiting Satellites,derived,high,"The stem and rubric assess: (a) Starting from Newton's second law and the universal law of gravitation, derive an expression for the satellite's orbital speed v in terms of G,…; this most directly matches Motion of Orbiting Satellites.",,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-6.6
apphy1-frq-018,ap-physics-1,frq,8,8.3,Fluids and Newton's Laws,derived,high,"The stem and rubric assess: (a) Draw a free-body diagram of the block and write Newton's second law for the block in equilibrium, including the buoyant force, gravity, and the…; this most directly matches Fluids and Newton's Laws.",,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-8.3
apphy1-frq-019,ap-physics-1,frq,1,1.4,Reference Frames and Relative Motion,recovered_author_code,high,"The author code is retained after a per-item content check: (a) Draw a vector diagram that relates the boat-water, water-shore, and boat-shore velocities, using the notation v⃗_bs = v⃗_bw + v⃗_ws. (b) Determ…; this most directly matches Reference Frames and Relative Motion.",1.4,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-1.4
apphy1-frq-020,ap-physics-1,frq,1,1.3,Representing Motion,recovered_author_code,high,The author code is retained after a per-item content check: (a) Describe a procedure and measurements that can determine whether the cart's acceleration is constant. (b) State what graph you would construct …; this most directly matches Representing Motion.,1.3,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:experimental:topic-1.3
apphy1-frq-021,ap-physics-1,frq,2,2.2,Forces and Free-Body Diagrams,recovered_author_code,medium,The author code is retained after a per-item content check: (a) Draw and label a free-body diagram for the passenger. (b) Use the diagram to determine the scale reading and explain why it exceeds the passeng…; this most directly matches Forces and Free-Body Diagrams.,2.2,unclear,false,2.5,false,true,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-2.2
apphy1-frq-022,ap-physics-1,frq,2,2.7,Kinetic and Static Friction,recovered_author_code,high,"The author code is retained after a per-item content check: (a) Design a procedure to determine the coefficient of static friction between the block and board. (b) Identify the measured quantities, one impor…; this most directly matches Kinetic and Static Friction.",2.7,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:experimental:topic-2.7
apphy1-frq-023,ap-physics-1,frq,2,2.9,Circular Motion,recovered_author_code,high,"The author code is retained after a per-item content check: The car travels at constant speed along a horizontal circular path around a curve banked at angle θ above the horizontal. The road is frictionless,…; this most directly matches Circular Motion.",2.9,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-2.9
apphy1-frq-024,ap-physics-1,frq,2,2.1,Systems and Center of Mass,derived,medium,The stem and rubric assess: (a) Predict how the center-of-mass velocity changes during the separation and justify your prediction. (b) If one cart has twice the mass of the ot…; this most directly matches Systems and Center of Mass.,,,false,4.3,false,true,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-2.1
apphy1-frq-025,ap-physics-1,frq,3,3.2,Work,recovered_author_code,medium,The author code is retained after a per-item content check: (a) Represent force versus position and determine the work done from x=0 to x=6.0 m. (b) Determine the cart's speed at x=6.0 m. (c) The measured tr…; this most directly matches Work.,3.2,agrees,false,3.5,false,true,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-3.2
apphy1-frq-026,ap-physics-1,frq,3,3.4,Conservation of Energy,recovered_author_code,high,"The author code is retained after a per-item content check: (a) Compare their final speeds and justify your prediction. (b) Compare their travel times, state which sled arrives first, and explain why energy …; this most directly matches Conservation of Energy.",3.4,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-3.4
apphy1-frq-027,ap-physics-1,frq,3,3.5,Power,recovered_author_code,high,The author code is retained after a per-item content check: (a) Describe measurements and a calculation that determine the motor's efficiency. (b) Identify one source of systematic energy loss and explain ho…; this most directly matches Power.,3.5,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-3.5
apphy1-frq-029,ap-physics-1,frq,4,4.4,Elastic and Inelastic Collisions,recovered_author_code,high,The author code is retained after a per-item content check: (a) Determine the speed immediately after the collision. (b) Determine the pellet's speed immediately before impact. (c) Explain which conservation…; this most directly matches Elastic and Inelastic Collisions.,4.4,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-4.4
apphy1-frq-030,ap-physics-1,frq,4,4.2,Change in Momentum and Impulse,recovered_author_code,high,The author code is retained after a per-item content check: (a) Use the force-time (F-t) graph described in the stimulus to determine the impulse delivered to the cart and the cart's final velocity. (b) Expl…; this most directly matches Change in Momentum and Impulse.,4.2,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:graphical:topic-4.2
apphy1-frq-031,ap-physics-1,frq,5,5.4,Rotational Inertia,recovered_author_code,high,The author code is retained after a per-item content check: (a) Predict which reaches the bottom first and justify using rotational inertia. (b) Compare their final translational speeds for the same vertical…; this most directly matches Rotational Inertia.,5.4,agrees,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-5.4
apphy1-frq-032,ap-physics-1,frq,5,5.5,Rotational Equilibrium and Newton's First Law in Rotational Form,derived,high,The stem and rubric assess: (a) Design a procedure to locate the stick's center of mass using equilibrium measurements. (b) Write the force and torque relationships needed. (c…; this most directly matches Rotational Equilibrium and Newton's First Law in Rotational Form.,,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:experimental:topic-5.5
apphy1-frq-033,ap-physics-1,frq,7,7.3,Representing and Analyzing SHM,derived,high,"The stem and rubric assess: (a) Sketch position, velocity, and acceleration versus time for one period with aligned time axes. (b) Explain the phase relationships and identify…; this most directly matches Representing and Analyzing SHM.",,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-7.3
apphy1-frq-035,ap-physics-1,frq,3,3.4,Conservation of Energy,derived,high,The stem and rubric assess: Spring launch on a rough track: Answer all mandatory subparts. Show reasoning and calculations clearly. Use standard AP Physics notation and justif…; this most directly matches Conservation of Energy.,,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-3.4
apphy1-frq-037,ap-physics-1,frq,8,8.2,Pressure,derived,high,The stem and rubric assess: Testing the pressure-depth model: Answer all mandatory subparts. Show reasoning and calculations clearly. Use standard AP Physics notation and just…; this most directly matches Pressure.,,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-8.2
apphy1-frq-038,ap-physics-1,frq,7,7.4,Energy of Simple Harmonic Oscillators,derived,high,The stem and rubric assess: Mass-spring amplitude and speed: Answer all mandatory subparts. Show reasoning and calculations clearly. Use standard AP Physics notation and justi…; this most directly matches Energy of Simple Harmonic Oscillators.,,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-7.4
apphy1-frq-039,ap-physics-1,frq,1,1.2,"Displacement, Velocity, and Acceleration",derived,high,"The stem and rubric assess: (a) Calculate the time for the ball to reach the ground and its speed just before impact. (b) Explain why the ball's acceleration remains constant …; this most directly matches Displacement, Velocity, and Acceleration.",,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-1.2
apphy1-frq-040,ap-physics-1,frq,2,2.7,Kinetic and Static Friction,derived,high,The stem and rubric assess: (a) Calculate the friction force acting on the crate and its resulting deceleration. (b) Predict how the deceleration changes if the coefficient of…; this most directly matches Kinetic and Static Friction.,,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:quantitative:topic-2.7
apphy1-frq-041,ap-physics-1,frq,3,3.5,Power,derived,high,The stem and rubric assess: (a) Design a feasible measurement: identify the independent variable and the dependent variable in this experiment. (b) Identify one variable that …; this most directly matches Power.,,,false,,false,false,27111dec-ee07-48f1-86cf-1a5833dd2962,stem+stimulus+rubric,legacy:frq:experimental:topic-3.5
