content_key,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,existing_author_code,content_check,content_disagrees,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version,evidence_fields_used,template_family
apphycm-frq-001,ap-physics-c-mechanics,frq,1,1.2,"Displacement, Velocity, and Acceleration",derived,high,"The complete item most directly assesses Displacement, Velocity, and Acceleration: Answer all parts of the following question. (a) Derive the particle's position x(t) and acceleration a(t) in terms of α and t. (b) Explain how inte…",,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:1.2
apphycm-frq-003,ap-physics-c-mechanics,frq,7,7.1,Defining Simple Harmonic Motion (SHM),derived,medium,The complete item most directly assesses Defining Simple Harmonic Motion (SHM): Answer all parts of the following question. (a) Derive the force F(x) from the given potential U(x) and identify which equilibrium points are stabl…,,,false,3.3,false,true,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:7.1
apphycm-frq-004,ap-physics-c-mechanics,frq,4,4.2,Change in Momentum and Impulse,derived,high,"The complete item most directly assesses Change in Momentum and Impulse: Answer all parts of the following question. (a) Derive the final momentum of the mass using the impulse-momentum theorem, and evaluate the result i…",,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:4.2
apphycm-frq-005,ap-physics-c-mechanics,frq,5,5.6,Newton's Second Law in Rotational Form,derived,high,The complete item most directly assesses Newton's Second Law in Rotational Form: Answer all parts of the following question. (a) Translate the rotational equation of motion for this disk into a labeled graph of angular velocity …,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:5.6
apphycm-frq-007,ap-physics-c-mechanics,frq,7,7.5,Simple and Physical Pendulums,derived,high,"The complete item most directly assesses Simple and Physical Pendulums: Answer all parts of the following question. (a) Sketch a labeled diagram of restoring torque versus angle θ for small oscillations, and explain how…",,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:7.5
apphycm-frq-008,ap-physics-c-mechanics,frq,1,1.2,"Displacement, Velocity, and Acceleration",derived,high,"The complete item most directly assesses Displacement, Velocity, and Acceleration: Answer all parts of the following question. (a) Translate the particle's v(t) graph into the corresponding a(t) and x(t) behavior, and explain what…",,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:1.2
apphycm-frq-009,ap-physics-c-mechanics,frq,2,2.9,Resistive Forces,derived,high,The complete item most directly assesses Resistive Forces: Answer all parts of the following question. (a) Design a feasible measurement that tests the linear-drag relation (F=-bv); identify the independent…,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:2.9
apphycm-frq-010,ap-physics-c-mechanics,frq,7,7.1,Defining Simple Harmonic Motion (SHM),derived,high,The complete item most directly assesses Defining Simple Harmonic Motion (SHM): Answer all parts of the following question. (a) Design a feasible measurement that tests the location and stability of all equilibria of U(x); iden…,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:7.1
apphycm-frq-011,ap-physics-c-mechanics,frq,4,4.2,Change in Momentum and Impulse,derived,high,The complete item most directly assesses Change in Momentum and Impulse: Answer all parts of the following question. (a) Design a feasible measurement that tests the impulse-momentum theorem; identify the independent var…,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:4.2
apphycm-frq-012,ap-physics-c-mechanics,frq,5,5.6,Newton's Second Law in Rotational Form,derived,high,The complete item most directly assesses Newton's Second Law in Rotational Form: Answer all parts of the following question. (a) Design a feasible measurement that tests the rotational analog of Newton's second law (I dω/dt=τ); …,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:5.6
apphycm-frq-013,ap-physics-c-mechanics,frq,5,5.4,Rotational Inertia,derived,high,"The complete item most directly assesses Rotational Inertia: Answer all parts of the following question. (a) Predict how the moment of inertia (about an axis through the x=0 end, perpendicular to the rod) cha…",,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:5.4
apphycm-frq-015,ap-physics-c-mechanics,frq,1,1.2,"Displacement, Velocity, and Acceleration",derived,high,"The complete item most directly assesses Displacement, Velocity, and Acceleration: Answer all parts of the following question. (a) At a fixed, unspecified time t, predict how the position x(t) and acceleration a(t) change when the…",,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:1.2
apphycm-frq-016,ap-physics-c-mechanics,frq,2,2.9,Resistive Forces,derived,high,The complete item most directly assesses Resistive Forces: Answer all parts of the following question. (a) Predict how the time constant τ and the total stopping distance change when the drag coefficient b …,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:2.9
apphycm-frq-017,ap-physics-c-mechanics,frq,1,1.5,Motion in Two or Three Dimensions,derived,high,The complete item most directly assesses Motion in Two or Three Dimensions: Answer all parts of the following question. (a) Write the velocity and position vectors as functions of time and relate their components to motion …,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:1.5
apphycm-frq-018,ap-physics-c-mechanics,frq,2,2.9,Resistive Forces,derived,high,The complete item most directly assesses Resistive Forces: Answer all parts of the following question. (a) Write the differential equation and determine terminal speed. (b) Solve for speed as a function of …,,,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:2.9
apphycm-frq-019,ap-physics-c-mechanics,frq,2,2.10,Circular Motion,recovered_author_code,high,"The author code is retained after checking the complete item Circular Motion: Answer all parts of the following question. Use F_T for the string tension and P for the orbital period. (a) Draw a free-body diagram, label the ve…",2.10,agrees,false,,false,false,d77d7801-441d-49bb-a2cf-a02f6bff407d,stem+stimulus+rubric,legacy:frq:2.10
