content_key,response_index,synthetic_type,criterion_key,validator_A_label,validator_A_evidence_quote,validator_B_label,validator_B_evidence_quote,agreement,lead_adjudication,final_gold_label
APSTAT-MOD3-H001-INV,0,fully_correct,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,0,fully_correct,hypothesis_test,,,,,,,
APSTAT-MOD3-H001-INV,1,partially_correct,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,1,partially_correct,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,1,partially_correct,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,1,partially_correct,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,1,partially_correct,hypothesis_test,,,,,,,
APSTAT-MOD3-H001-INV,2,borderline,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,2,borderline,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,2,borderline,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,2,borderline,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,2,borderline,hypothesis_test,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,bias_identification,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,improved_sampling_design,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,ci_calculation,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,ci_interpretation,,,,,,,
APSTAT-MOD3-H001-INV,3,subtly_wrong,hypothesis_test,,,,,,,
APSTAT-MOD5-H001-INV,0,fully_correct,causation_vs_correlation,,,,,,,
APSTAT-MOD5-H001-INV,0,fully_correct,confounding_variables,,,,,,,
APSTAT-MOD5-H001-INV,0,fully_correct,experimental_advantage,,,,,,,
APSTAT-MOD5-H001-INV,0,fully_correct,experimental_conclusion,,,,,,,
APSTAT-MOD5-H001-INV,1,partially_correct,causation_vs_correlation,,,,,,,
APSTAT-MOD5-H001-INV,1,partially_correct,confounding_variables,,,,,,,
APSTAT-MOD5-H001-INV,1,partially_correct,experimental_advantage,,,,,,,
APSTAT-MOD5-H001-INV,1,partially_correct,experimental_conclusion,,,,,,,
APSTAT-MOD5-H001-INV,2,borderline,causation_vs_correlation,,,,,,,
APSTAT-MOD5-H001-INV,2,borderline,confounding_variables,,,,,,,
APSTAT-MOD5-H001-INV,2,borderline,experimental_advantage,,,,,,,
APSTAT-MOD5-H001-INV,2,borderline,experimental_conclusion,,,,,,,
APSTAT-MOD5-H001-INV,3,subtly_wrong,causation_vs_correlation,,,,,,,
APSTAT-MOD5-H001-INV,3,subtly_wrong,confounding_variables,,,,,,,
APSTAT-MOD5-H001-INV,3,subtly_wrong,experimental_advantage,,,,,,,
APSTAT-MOD5-H001-INV,3,subtly_wrong,experimental_conclusion,,,,,,,
APSTAT-MOD6-H001,0,fully_correct,hypotheses_setup,,,,,,,
APSTAT-MOD6-H001,0,fully_correct,test_calculation,,,,,,,
APSTAT-MOD6-H001,0,fully_correct,conclusion,,,,,,,
APSTAT-MOD6-H001,1,partially_correct,hypotheses_setup,,,,,,,
APSTAT-MOD6-H001,1,partially_correct,test_calculation,,,,,,,
APSTAT-MOD6-H001,1,partially_correct,conclusion,,,,,,,
APSTAT-MOD6-H001,2,borderline,hypotheses_setup,,,,,,,
APSTAT-MOD6-H001,2,borderline,test_calculation,,,,,,,
APSTAT-MOD6-H001,2,borderline,conclusion,,,,,,,
APSTAT-MOD6-H001,3,subtly_wrong,hypotheses_setup,,,,,,,
APSTAT-MOD6-H001,3,subtly_wrong,test_calculation,,,,,,,
APSTAT-MOD6-H001,3,subtly_wrong,conclusion,,,,,,,
APSTAT-MOD7-H001,0,fully_correct,bayes_theorem_setup,,,,,,,
APSTAT-MOD7-H001,0,fully_correct,calculation,,,,,,,
APSTAT-MOD7-H001,1,partially_correct,bayes_theorem_setup,,,,,,,
APSTAT-MOD7-H001,1,partially_correct,calculation,,,,,,,
APSTAT-MOD7-H001,2,borderline,bayes_theorem_setup,,,,,,,
APSTAT-MOD7-H001,2,borderline,calculation,,,,,,,
APSTAT-MOD7-H001,3,subtly_wrong,bayes_theorem_setup,,,,,,,
APSTAT-MOD7-H001,3,subtly_wrong,calculation,,,,,,,
APSTAT-MOD8-H001,0,fully_correct,correlation_calculation,,,,,,,
APSTAT-MOD8-H001,0,fully_correct,regression_equation,,,,,,,
APSTAT-MOD8-H001,0,fully_correct,interpretation,,,,,,,
APSTAT-MOD8-H001,1,partially_correct,correlation_calculation,,,,,,,
APSTAT-MOD8-H001,1,partially_correct,regression_equation,,,,,,,
APSTAT-MOD8-H001,1,partially_correct,interpretation,,,,,,,
APSTAT-MOD8-H001,2,borderline,correlation_calculation,,,,,,,
APSTAT-MOD8-H001,2,borderline,regression_equation,,,,,,,
APSTAT-MOD8-H001,2,borderline,interpretation,,,,,,,
APSTAT-MOD8-H001,3,subtly_wrong,correlation_calculation,,,,,,,
APSTAT-MOD8-H001,3,subtly_wrong,regression_equation,,,,,,,
APSTAT-MOD8-H001,3,subtly_wrong,interpretation,,,,,,,
