content_key,response_index,synthetic_type,priority,reason,next_action,owner,notes
APSTAT-MOD3-H001-INV,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD3-H001-INV,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD3-H001-INV,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
APSTAT-MOD4-H001-INV,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD4-H001-INV,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD4-H001-INV,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
APSTAT-MOD5-H001-INV,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD5-H001-INV,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD5-H001-INV,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
APSTAT-MOD6-M001,1,borderline,medium,Near-boundary response with mixed criterion labels,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Borderline response; preserve calibration signal rather than flattening it.
APSTAT-MOD6-M001,2,partially_correct,medium,Concise-but-partial response that may be under-credited,Confirm the minimum-fix threshold / evidence quote for the ambiguous criteria,Learning Quality,Concise but incomplete response; check for over-penalization.
APSTAT-MOD6-M001,3,subtly_wrong,high,Subtle error or deterministic miss,Confirm whether any criterion should be upgraded from not_earned to partial before gold promotion,Learning Quality,Highest-value deterministic miss for calibration.
