id,content_key,category,question_or_issue,disposition
H-PRECALC-001,apprecalc-frq-001,topical_ambiguity,Proposed 1.4 with 1.14 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-002,apprecalc-frq-002,topical_ambiguity,Proposed 2.10 with 2.5 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-003,apprecalc-frq-003,topical_ambiguity,Proposed 3.6 with 3.10 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-004,apprecalc-frq-007,topical_ambiguity,Proposed 2.5 with 2.13 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-005,apprecalc-frq-011,topical_ambiguity,Proposed 3.7 with 3.10 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-006,apprecalc-frq-012,topical_ambiguity,Proposed 3.14 with 3.13 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-007,apprecalc-frq-013,topical_ambiguity,Proposed 1.6 with 1.5 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-008,apprecalc-frq-017,topical_ambiguity,Proposed 1.4 with 1.6 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-009,apprecalc-frq-018,topical_ambiguity,Proposed 2.10 with 2.13 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-010,apprecalc-frq-019,topical_ambiguity,Proposed 1.10 with 1.7 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-011,apprecalc-frq-020,topical_ambiguity,Proposed 2.6 with 2.3 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-012,apprecalc-frq-021,topical_ambiguity,Proposed 2.11 with 2.14 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-013,apprecalc-frq-022,topical_ambiguity,Proposed 1.14 with 1.4 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-014,apprecalc-frq-024,topical_ambiguity,Proposed 1.14 with 1.4 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-015,apprecalc-frq-032,topical_ambiguity,Proposed 2.13 with 2.10 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-016,apprecalc-frq-033,topical_ambiguity,Proposed 2.13 with 2.12 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-017,apprecalc-frq-034,topical_ambiguity,Proposed 3.9 with 3.10 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-018,apprecalc-frq-035,topical_ambiguity,Proposed 3.10 with 3.12 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-019,apprecalc-frq-036,topical_ambiguity,Proposed 2.13 with 2.12 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-020,apprecalc-frq-np2-001,undetermined,Balanced survey item spans unrelated topics; possible labels include 2.7.,Independent QA and Product Owner review required before use.
H-PRECALC-021,apprecalc-frq-np2-002,topical_ambiguity,Proposed 1.4 with 1.14 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-022,apprecalc-frq-np2-004,undetermined,Balanced survey item spans unrelated topics; possible labels include 2.13.,Independent QA and Product Owner review required before use.
H-PRECALC-023,apprecalc-frq-np2-005,topical_ambiguity,Proposed 1.10 with 1.7 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-024,apprecalc-frq-np2-007,undetermined,Balanced survey item spans unrelated topics; possible labels include 2.12.,Independent QA and Product Owner review required before use.
H-PRECALC-025,apprecalc-frq-np2-008,topical_ambiguity,Proposed 1.6 with 1.5 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-026,apprecalc-frq-np2-010,undetermined,Balanced survey item spans unrelated topics; possible labels include 1.8.,Independent QA and Product Owner review required before use.
H-PRECALC-027,apprecalc-frq-u12-002,topical_ambiguity,Proposed 2.9 with 2.12 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-028,apprecalc-frq-u12-015,topical_ambiguity,Proposed 1.14 with 1.7 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-029,apprecalc-mcq-028,topical_ambiguity,Proposed 1.5 with 1.11 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-030,apprecalc-mcq-np2-002,topical_ambiguity,Proposed 1.10 with 1.9 as the closest alternative.,Independent QA and Product Owner review required before use.
H-PRECALC-031,apprecalc-mcq-np2-009,topical_ambiguity,Proposed 1.4 with 1.6 as the closest alternative.,Independent QA and Product Owner review required before use.
