content_key,content_item_version_id,criterion_key,points_possible,covered,span_indexes,confidence,flags
"APSTAT-MOD3-E002","882d7377-1634-46a9-88c8-a46680c837db","distribution_shape","1","true","1","high",""
"APSTAT-MOD3-E005","bd6662e5-ef20-4a53-8c9f-0a4010d2470c","correlation_causation","1","true","1","high",""
"APSTAT-MOD3-H001-INV","decf1d69-0fb2-4bd6-8d71-a587a46bff57","bias_identification","1","true","1","high",""
"APSTAT-MOD3-H001-INV","decf1d69-0fb2-4bd6-8d71-a587a46bff57","ci_calculation","1","true","5","high",""
"APSTAT-MOD3-H001-INV","decf1d69-0fb2-4bd6-8d71-a587a46bff57","ci_interpretation","1","true","7","high",""
"APSTAT-MOD3-H001-INV","decf1d69-0fb2-4bd6-8d71-a587a46bff57","hypothesis_test","1","true","9","high",""
"APSTAT-MOD3-H001-INV","decf1d69-0fb2-4bd6-8d71-a587a46bff57","improved_sampling_design","1","true","3","high",""
"APSTAT-MOD4-H001-INV","b045075d-724f-4248-8a3b-e0f0c68e82a0","blocking_decision","1","true","3","medium","The prompt reportedly mentions p ≈ 0.014; that is approximately the two-sided p-value, while the directional alternative requested gives about 0.007."
"APSTAT-MOD4-H001-INV","b045075d-724f-4248-8a3b-e0f0c68e82a0","experimental_design","1","true","1","medium","The prompt reportedly mentions p ≈ 0.014; that is approximately the two-sided p-value, while the directional alternative requested gives about 0.007."
"APSTAT-MOD4-H001-INV","b045075d-724f-4248-8a3b-e0f0c68e82a0","hypothesis_test_execution","1","true","5","medium","The prompt reportedly mentions p ≈ 0.014; that is approximately the two-sided p-value, while the directional alternative requested gives about 0.007."
"APSTAT-MOD4-H001-INV","b045075d-724f-4248-8a3b-e0f0c68e82a0","significance_interpretation","1","true","7","medium","The prompt reportedly mentions p ≈ 0.014; that is approximately the two-sided p-value, while the directional alternative requested gives about 0.007."
"APSTAT-MOD4-M001","80a0b867-d6e6-4bf6-999c-323c357f10f1","design-groups","1","true","1","high",""
"APSTAT-MOD4-M001","80a0b867-d6e6-4bf6-999c-323c357f10f1","design-outcome","1","true","1","high",""
"APSTAT-MOD4-M001","80a0b867-d6e6-4bf6-999c-323c357f10f1","design-random-assignment","1","true","1","high",""
"APSTAT-MOD4-M003","15a93acc-e093-49fc-ae64-baa0e77a2c5c","census_vs_sample","1","true","1","high",""
"APSTAT-MOD4-M004","55a833f4-ab5f-4437-b36f-748038236300","visual_description","1","true","1","high",""
"APSTAT-MOD5-H001-INV","b0d3059b-0072-44d5-8543-eb16cc79a17b","causation_vs_correlation","1","true","1","medium","The supplied t statistic lacks a stated subtraction order, so the answer concludes a difference but does not infer its direction."
"APSTAT-MOD5-H001-INV","b0d3059b-0072-44d5-8543-eb16cc79a17b","confounding_variables","1","true","3","medium","The supplied t statistic lacks a stated subtraction order, so the answer concludes a difference but does not infer its direction."
"APSTAT-MOD5-H001-INV","b0d3059b-0072-44d5-8543-eb16cc79a17b","experimental_advantage","1","true","5","medium","The supplied t statistic lacks a stated subtraction order, so the answer concludes a difference but does not infer its direction."
"APSTAT-MOD5-H001-INV","b0d3059b-0072-44d5-8543-eb16cc79a17b","experimental_conclusion","1","true","7","medium","The supplied t statistic lacks a stated subtraction order, so the answer concludes a difference but does not infer its direction."
"APSTAT-MOD5-M001","acf20fc2-bc25-42e9-9068-fea69c26c89c","descriptive_statistics","1","true","1","high",""
"APSTAT-MOD6-H001","bf471ada-e35b-4d63-b27d-d9aba40722ca","conclusion","1","true","1","high",""
"APSTAT-MOD6-H001","bf471ada-e35b-4d63-b27d-d9aba40722ca","hypotheses_setup","1","true","1","high",""
"APSTAT-MOD6-H001","bf471ada-e35b-4d63-b27d-d9aba40722ca","test_calculation","1","true","1","high",""
"APSTAT-MOD6-H002-INV","c93a7c33-587b-48dc-9aaf-929e9e3cccc0","exploratory_analysis","1","true","1","high",""
"APSTAT-MOD6-H002-INV","c93a7c33-587b-48dc-9aaf-929e9e3cccc0","model_recommendation","1","true","7","high",""
"APSTAT-MOD6-H002-INV","c93a7c33-587b-48dc-9aaf-929e9e3cccc0","regression_fitting","1","true","3","high",""
"APSTAT-MOD6-H002-INV","c93a7c33-587b-48dc-9aaf-929e9e3cccc0","residual_diagnostics","1","true","5","high",""
"APSTAT-MOD6-M002","0d1808ac-8b62-472d-abcb-1d7edd5184ab","confidence_interval_interpretation","1","true","1","high",""
"APSTAT-MOD7-H002-INV","9817ead7-52af-493f-b7ef-dc30c3c4d904","chi_square_test","1","true","3|9","high",""
"APSTAT-MOD7-H002-INV","9817ead7-52af-493f-b7ef-dc30c3c4d904","contextual_interpretation","1","true","7|9","high",""
"APSTAT-MOD7-H002-INV","9817ead7-52af-493f-b7ef-dc30c3c4d904","contingency_table","1","true","1|9","high",""
"APSTAT-MOD7-H002-INV","9817ead7-52af-493f-b7ef-dc30c3c4d904","probability_analysis","1","true","5|9","high",""
"APSTAT-MOD8-M004","b7db04ce-be58-44b8-bbec-2be286e254d9","slope_interpretation","1","true","1","high",""
"apstats-frq-u12-001","1300dd2b-de29-4d8b-a990-376c8d3ff876","part-a-criterion-01","1","true","1","high",""
"apstats-frq-u12-001","1300dd2b-de29-4d8b-a990-376c8d3ff876","part-a-criterion-02","1","true","1","high",""
"apstats-frq-u12-001","1300dd2b-de29-4d8b-a990-376c8d3ff876","part-b-criterion-01","1","true","3","high",""
"apstats-frq-u12-001","1300dd2b-de29-4d8b-a990-376c8d3ff876","part-b-criterion-02","1","true","3","high",""
"apstats-frq-u12-001","1300dd2b-de29-4d8b-a990-376c8d3ff876","part-b-criterion-03","1","true","3","high",""
"apstats-frq-u12-001","1300dd2b-de29-4d8b-a990-376c8d3ff876","part-c-criterion-01","1","true","5","high",""
"apstats-frq-u12-001","1300dd2b-de29-4d8b-a990-376c8d3ff876","part-c-criterion-02","1","true","5","high",""
