content_key,criterion_key,span_index,similarity_ratio,threshold_band,highest_pair_governs,restatement_justification
apphycem-frq-001,part-a,3,0.949495,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-001,part-b,5,0.984375,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-004,part-a,3,0.954955,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-004,part-b,5,0.954128,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-005,part-a,3,0.487395,clear,yes,
apphycem-frq-005,part-b,5,0.950000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-006,part-a,3,0.394366,clear,yes,
apphycem-frq-006,part-b,5,0.923077,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-010,part-a,3,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-010,part-b,5,0.454545,clear,yes,
apphycem-frq-012,part-a,3,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-012,part-b,5,0.407407,clear,yes,
apphycem-frq-015,part-a,3,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-015,part-b,5,0.305085,clear,yes,
apphycem-frq-016,part-a,3,0.588235,clear,yes,
apphycem-frq-016,part-b,5,0.975610,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-018,a-diagram,3,0.965517,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-018,b-conductor,5,0.977273,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-018,b-sheet,7,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-020,a-element,3,0.827586,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-020,a-integral,5,0.736842,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-020,a-result,7,0.909091,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-020,b-charge,9,0.727273,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-020,b-compare,11,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-020,c-far,13,0.941176,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,a-integral,3,0.761905,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,a-result,5,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,a-ring,7,0.814815,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,b-field,9,0.827586,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,c-field-far,11,0.975610,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,c-field-surface,13,0.880000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,c-potential-far,15,0.967742,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-021,c-potential-near,17,0.947368,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,a-baseline,3,0.846154,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,a-kappa,5,0.928571,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,b-energy,7,0.967742,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,b-field,9,0.977778,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,b-voltage,11,0.971429,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,c-controls,13,0.857143,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,c-fitting,15,0.920000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-025,c-leakage,17,0.882353,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-027,a-diagram,3,0.434783,clear,yes,
apphycem-frq-027,a-left,5,0.782609,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-027,a-right,7,0.901961,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-027,b-matrix,9,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-027,b-solution,11,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-027,c-junction,13,0.956522,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-027,c-power,15,0.969697,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-028,a-data,3,0.846154,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-028,a-reference,5,0.500000,clear,yes,
apphycem-frq-028,b-controls,7,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-028,b-diagnostic,9,0.931034,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-028,b-graph,11,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-031,a-loop,3,0.838710,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-031,a-result,5,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-031,b-approximations,7,0.936170,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-031,b-inner,9,0.974359,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-031,b-outer,11,0.981818,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-032,a-procedure,3,0.622951,clear,yes,
apphycem-frq-032,b-controls,5,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-032,b-determineB,7,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-032,b-graph,9,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-032,b-zerocorrection,11,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-033,a-current,3,0.727273,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-033,a-direction,5,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-033,a-emf,7,0.880000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-033,b-external,9,0.947368,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-033,b-force,11,0.869565,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-033,c-power,13,0.941176,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-034,a-current,3,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-034,a-voltage,5,0.592593,clear,yes,
apphycem-frq-034,b-continuity,7,0.953846,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-034,b-heat,9,0.956522,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-a-criterion-01,1,0.782609,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-a-criterion-02,3,0.928571,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-a-criterion-03,5,0.500000,clear,yes,
apphycem-frq-035,part-a-criterion-04,7,0.823529,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-a-criterion-05,9,0.888889,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-a-criterion-06,11,0.823529,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-a-criterion-07,13,0.941176,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-b-criterion-01,15,0.848485,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-b-criterion-02,17,0.960000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-035,part-b-criterion-03,19,0.962963,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-a-criterion-01,1,0.967742,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-a-criterion-02,3,0.800000,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-a-criterion-03,5,0.761905,review_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-b-criterion-01,7,0.900000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-b-criterion-02,9,0.666667,clear,yes,
apphycem-frq-036,part-b-criterion-03,11,0.857143,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-b-criterion-04,13,0.956522,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-c-criterion-01,15,0.952381,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-c-criterion-02,17,0.965517,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-c-criterion-03,19,0.972973,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-d-criterion-01,21,0.976744,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-036,part-d-criterion-02,23,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-a-criterion-01,1,0.941176,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-a-criterion-02,3,0.952381,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-b-criterion-01,5,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-b-criterion-02,7,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-c-criterion-01,9,1.000000,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-c-criterion-02,11,0.878049,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-c-criterion-03,13,0.878049,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
apphycem-frq-037,part-c-criterion-04,15,0.897959,hard_threshold,yes,"A short criterion-specific physics statement or formula is necessarily close to the rubric; the span includes the required derivation, mechanism, or item-specific application without padding."
