content_key,item_type,difficulty,basis,authored_difficulty
apchem-frq-l-002,frq,Hard,predict AND justify a directional change,Easy
apchem-frq-l-003,frq,Hard,predict AND justify a directional change,Easy
apchem-frq-l-004,frq,Hard,predict AND justify a directional change,Easy
apchem-frq-l-005,frq,Medium,"explain/justify, single link",Medium
apchem-frq-l-006,frq,Medium,"explain/justify, single link",Medium
apchem-frq-l-010,frq,Medium,"explain/justify, single link",Medium
apchem-frq-l-011,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-012,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-013,frq,Medium,explain/justify linked to a shift or representation,Medium
apchem-frq-l-014,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-016,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-017,frq,Medium,predicts a shift without required justification,Medium
apchem-frq-l-020,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-021,frq,Medium,C2 multi-step Hess-law manipulation,Medium
apchem-frq-l-022,frq,Medium,predicts a shift without required justification,Medium
apchem-frq-l-023,frq,Hard,predict AND justify a directional change,Medium
apchem-frq-l-024,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-025,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-026,frq,Easy,single-step algorithmic calculation,Medium
apchem-frq-l-027,frq,Medium,"explain/justify, single link",Medium
apchem-frq-l-028,frq,Easy,direct recall / identification,Medium
apchem-sfrq-002,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-003,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-004,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-005,frq,Hard,predict AND justify a directional change,Hard
apchem-sfrq-007,frq,Medium,"explain/justify, single link",Hard
apchem-sfrq-008,frq,Hard,deviation/experimental-error/design evaluation,Hard
apchem-sfrq-009,frq,Medium,"explain/justify, single link",Very Hard
apchem-sfrq-010,frq,Medium,"explain/justify, single link",Very Hard
apchem-sfrq-014,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-015,frq,Easy,single-step algorithmic calculation,Medium
apchem-sfrq-016,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-018,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-019,frq,Medium,explain/justify linked to a shift or representation,Medium
apchem-sfrq-021,frq,Easy,direct recall / identification,Medium
apchem-sfrq-022,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-023,frq,Easy,direct recall / identification,Medium
apchem-sfrq-024,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-026,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-027,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-028,frq,Easy,single-step algorithmic calculation,Medium
apchem-sfrq-029,frq,Medium,explain/justify linked to a shift or representation,Medium
apchem-sfrq-030,frq,Hard,predict AND justify a directional change,Medium
apchem-sfrq-031,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-032,frq,Easy,single-step algorithmic calculation,Medium
apchem-sfrq-033,frq,Easy,direct recall / identification,Medium
apchem-sfrq-034,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-035,frq,Medium,"explain/justify, single link",Medium
apchem-sfrq-036,frq,Hard,predict AND justify a directional change,Medium
apchem-sfrq-037,frq,Easy,single-step algorithmic calculation,Medium
apchem-sfrq-038,frq,Easy,single-step algorithmic calculation,Medium
apchem-mcq-001,mcq,Easy,C1 single-step algorithmic calculation,Easy
apchem-mcq-003,mcq,Easy,C1 direct recall of a fundamental concept or trend,Easy
apchem-mcq-004,mcq,Easy,C1 direct recall of a fundamental concept or trend,Easy
apchem-mcq-005,mcq,Easy,C1 direct recall of a fundamental concept or trend,Easy
apchem-mcq-006,mcq,Easy,C1 single-step Beer-Lambert proportional reasoning,Medium
apchem-mcq-007,mcq,Easy,C1 direct recall of a solubility trend,Medium
apchem-mcq-008,mcq,Easy,C1 single-step algorithmic calculation,Medium
apchem-mcq-009,mcq,Easy,C1 single-step stoichiometry,Medium
apchem-mcq-010,mcq,Easy,C1 direct identification,Medium
apchem-mcq-011,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Medium
apchem-mcq-012,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Medium
apchem-mcq-013,mcq,Easy,C1 single-step algorithmic calculation,Medium
apchem-mcq-014,mcq,Easy,C1 direct recall of a fundamental concept or trend,Hard
apchem-mcq-015,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Hard
apchem-mcq-016,mcq,Hard,C3 synthesis / deviation / design evaluation,Hard
apchem-mcq-017,mcq,Easy,C1 single-step log calculation,Hard
apchem-mcq-018,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Hard
apchem-mcq-019,mcq,Easy,C1 direct recall of a fundamental concept or trend,Very Hard
apchem-mcq-020,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",Very Hard
apchem-mcq-021,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-022,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-023,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-024,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-025,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-026,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-027,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-028,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-029,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-030,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-031,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-032,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-033,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-034,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-035,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-036,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-037,mcq,Easy,C1 direct recall of a photon energy trend,
apchem-mcq-038,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-039,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-040,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-041,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-042,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-043,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-044,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-045,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-046,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-047,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-048,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-049,mcq,Medium,C2 links a calorimetry observation to thermodynamics,
apchem-mcq-051,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-052,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-053,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-054,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-055,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-056,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-057,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-058,mcq,Easy,C1 direct recall of a fundamental concept or trend,
apchem-mcq-059,mcq,Medium,C2 two-step: pH then pOH,
apchem-mcq-060,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-061,mcq,Easy,C1 single-step algorithmic calculation,
apchem-mcq-062,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-063,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-064,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-065,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-066,mcq,Medium,"C2 connects enthalpy, entropy and temperature dependence",
apchem-mcq-067,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-068,mcq,Medium,"C2 connects two distinct ideas, a shift, or a multi-step chain",
apchem-mcq-069,mcq,Hard,C3 synthesis / deviation / design evaluation,
apchem-mcq-070,mcq,Medium,C2 multi-step Faraday electrolysis,
