content_key,content_item_id,criterion_key,points_possible,span_index,status,provenance,confidence,flags
"apphy1-frq-001","3bf61cc2-4fc9-4924-b0ca-def859e7f531","part-a","1","3","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-001","3bf61cc2-4fc9-4924-b0ca-def859e7f531","part-b","1","4","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-012","da3c6768-3b04-40bc-9beb-9ba398447f47","part-a","1","3","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-012","da3c6768-3b04-40bc-9beb-9ba398447f47","part-b","1","5","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-018","e93a861c-69c7-4452-9e88-eb661dd3a204","part-a","1","3","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-018","e93a861c-69c7-4452-9e88-eb661dd3a204","part-b","1","5","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-024","18e6f11e-30eb-4a83-ae6e-d685b1a2483a","a-com","1","3","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-024","18e6f11e-30eb-4a83-ae6e-d685b1a2483a","b-momentum","1","4","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-024","18e6f11e-30eb-4a83-ae6e-d685b1a2483a","b-speed","1","5","covered","authored","high","g1_span_exclusivity_recut"
"apphy1-frq-032","4d76ab52-1652-497e-9c3d-214686de5aa9","a-infer","1","4","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-032","4d76ab52-1652-497e-9c3d-214686de5aa9","a-measure","1","3","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-032","4d76ab52-1652-497e-9c3d-214686de5aa9","b-pivot","1","5","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-032","4d76ab52-1652-497e-9c3d-214686de5aa9","b-torque","1","6","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-032","4d76ab52-1652-497e-9c3d-214686de5aa9","c-check","1","7","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-032","4d76ab52-1652-497e-9c3d-214686de5aa9","c-uncertainty","1","8","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-033","14b30ea9-0539-4911-8910-47ffd6d5c60e","a-graphs","1","1","covered","authored","medium","textual_graph_or_diagram_representation|g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-033","14b30ea9-0539-4911-8910-47ffd6d5c60e","b-energy","1","2","covered","authored","medium","textual_graph_or_diagram_representation|g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-033","14b30ea9-0539-4911-8910-47ffd6d5c60e","b-phase","1","3","covered","authored","medium","textual_graph_or_diagram_representation|g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-a-criterion-01","1","1","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-a-criterion-02","1","2","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-a-criterion-03","1","3","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-a-criterion-04","1","4","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-a-criterion-05","1","5","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-a-criterion-06","1","6","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-a-criterion-07","1","7","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-b-criterion-01","1","8","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-b-criterion-02","1","9","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-035","de650c07-ac1b-40cd-a4cd-2c17633ed7c3","part-b-criterion-03","1","10","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-a-criterion-01","1","1","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-a-criterion-02","1","2","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-b-criterion-01","1","3","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-b-criterion-02","1","4","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-c-criterion-01","1","5","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-c-criterion-02","1","6","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-c-criterion-03","1","7","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-c-criterion-04","1","8","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-d-criterion-01","1","9","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-037","702fca06-c833-4262-a4ca-c1bf76252a84","part-d-criterion-02","1","10","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-038","10507b47-e925-46aa-a244-c72613b623c2","part-a-criterion-01","1","1","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-038","10507b47-e925-46aa-a244-c72613b623c2","part-a-criterion-02","1","2","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-038","10507b47-e925-46aa-a244-c72613b623c2","part-a-criterion-03","1","3","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
"apphy1-frq-038","10507b47-e925-46aa-a244-c72613b623c2","part-b-criterion-01","1","4","covered","authored","high","g1_span_exclusivity_recut|g1_full_text_reauthored"
