finding_id,target_file,content_item_id,content_key,issue_type,severity,explanation,suggested_investigation
QA2-001,apbio_frq_segmentation.codex.jsonl,905df3c1-d797-456c-8caf-cfdb3721b29e,APBIO-FRQ-L-004,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-002,apbio_frq_segmentation.codex.jsonl,786c5b62-f352-4077-91bf-b2a788c152c0,APBIO-FRQ-L-006,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-003,apbio_frq_segmentation.codex.jsonl,a1101c5f-7dfa-4899-b766-c8bdf3d1e366,APBIO-FRQ-L-012,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-004,apbio_frq_segmentation.codex.jsonl,ccf9a896-ab8f-48b6-9f19-10c043ab14af,APBIO-FRQ-L-013,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-005,apbio_frq_segmentation.codex.jsonl,4a84a371-50b8-47a1-8089-16ead0b41331,APBIO-FRQ-L-015,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-006,apbio_frq_segmentation.codex.jsonl,3f243cab-1291-4bac-8b7a-17ca56aad92c,APBIO-FRQ-L-016,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-007,apbio_frq_segmentation.codex.jsonl,f420df2b-d478-4795-b646-0f4a13a04b59,APBIO-FRQ-L-017,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-008,apbio_frq_segmentation.codex.jsonl,65bd0d29-e854-416e-bd1c-3b5c966de99c,APBIO-FRQ-L-019,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-009,apbio_frq_segmentation.codex.jsonl,0880b181-fd70-4b8e-8659-48aeac65fff0,APBIO-FRQ-L-021,points_total_mismatch,medium,prompt_json.total_points=8 but rubric sums to 9 (confirmed in Production).,Content reviewer reconciles declared total vs rubric sum.
QA2-010,apbio_frq_segmentation.codex.jsonl,f07ecf14-7cfd-423a-80d1-f83d05d34ccb,APBIO-FRQ-S-007,partial_draft_coverage,medium,1 of 2 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-011,apbio_frq_segmentation.codex.jsonl,15578bad-7da4-4a51-abde-595f5f9601d7,APBIO-FRQ-S-010,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-012,apbio_frq_segmentation.codex.jsonl,317c8f23-e810-4163-8f5f-f8ea0036c742,APBIO-FRQ-S-011,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-013,apbio_frq_segmentation.codex.jsonl,b4249345-5510-4c46-b072-a1ea8219baa4,APBIO-FRQ-S-016,partial_draft_coverage,medium,1 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
QA2-014,apbio_frq_segmentation.codex.jsonl,c1e627a9-49f0-4265-96fd-08cdf7169343,APBIO-FRQ-S-020,partial_draft_coverage,medium,2 of 4 criteria required drafted content because the existing answers do not cover them.,Human review of the drafted spans (earns-the-point) before ratification.
