content_key,item_type,difficulty,basis,confidence,rationale
apprecalc-frq-001,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-002,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-003,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-004,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-005,frq,Hard,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=2, Hard=4; criteria_with_no_cue=0/6."
apprecalc-frq-006,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-007,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-009,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-010,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-011,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-012,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-013,frq,Hard,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=2, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-014,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-015,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-016,frq,Hard,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=2, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-017,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-018,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-019,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=2, Medium=4, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-020,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=2, Hard=1; criteria_with_no_cue=0/3."
apprecalc-frq-021,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-022,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=2, Hard=1; criteria_with_no_cue=0/3."
apprecalc-frq-023,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-024,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=2, Hard=1; criteria_with_no_cue=0/3."
apprecalc-frq-025,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=4, Hard=2; criteria_with_no_cue=0/6."
apprecalc-frq-026,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=2, Hard=1; criteria_with_no_cue=0/3."
apprecalc-frq-027,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-028,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=3, Hard=0; criteria_with_no_cue=0/3."
apprecalc-frq-029,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-030,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=3, Hard=0; criteria_with_no_cue=0/3."
apprecalc-frq-031,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=6, Hard=0; criteria_with_no_cue=0/6."
apprecalc-frq-032,frq,Medium,calibrated_task_verb,medium,"Per-criterion cue tiers via part-a stem instruction, modal with upward tie-break: Easy=0, Medium=3, Hard=0; criteria_with_no_cue=0/3."
